Temperature (T),v_region_1
355.7894736842105,2.914636979767238e-06
356.2406015037594,2.91519297945797e-06
356.69172932330827,2.9157489649378476e-06
357.1428571428571,2.91630496462858e-06
357.593984962406,2.916860964319312e-06
358.0451127819549,2.9174169640100445e-06
358.49624060150376,2.917972949489922e-06
358.9473684210526,2.9185289491806543e-06
359.3984962406015,2.919082533026085e-06
359.8496240601504,2.919486647101621e-06
360.30075187969925,2.9196263824360358e-06
360.7518796992481,2.9197661177704504e-06
361.203007518797,2.919905853104865e-06
361.6541353383459,2.9200456026501342e-06
362.10526315789474,2.920185337984549e-06
362.5563909774436,2.920344655876761e-06
363.0075187969925,2.9205084501882084e-06
363.45864661654133,2.920672244499656e-06
363.90977443609023,2.9208360246002485e-06
364.3609022556391,2.920999818911696e-06
364.812030075188,2.9211636132231433e-06
365.2631578947368,2.921327393323736e-06
365.7142857142857,2.9214911876351835e-06
366.16541353383457,2.9215905783530616e-06
366.61654135338347,2.9216844268376008e-06
367.0676691729323,2.92177827532214e-06
367.5187969924812,2.921872138017534e-06
367.96992481203006,2.921965986502073e-06
368.42105263157896,2.9220598349866123e-06
368.8721804511278,2.922153697682006e-06
369.3233082706767,2.9222475319556906e-06
369.77443609022555,2.9223436541769843e-06
370.22556390977445,2.9224399042959703e-06
370.6766917293233,2.922536168625811e-06
371.1278195488722,2.922632432955652e-06
371.57894736842104,2.9227286972854927e-06
372.03007518796994,2.922824933193624e-06
372.4812030075188,2.922921197523465e-06
372.93233082706763,2.9230174618533056e-06
373.38345864661653,2.9231137261831464e-06
373.83458646616543,2.9232099763021324e-06
374.2857142857143,2.923306240631973e-06
374.7368421052631,2.9234024907509593e-06
375.187969924812,2.9234987550808e-06
375.6390977443609,2.923595005199786e-06
376.09022556390977,2.923691255318772e-06
376.5413533834586,2.923787519648613e-06
376.9924812030075,2.9238837839784537e-06
377.4436090225564,2.9239800340974398e-06
377.89473684210526,2.9240762984272806e-06
378.3458646616541,2.9241725485462666e-06
378.796992481203,2.9242688128761074e-06
379.2481203007519,2.924365077205948e-06
379.69924812030075,2.9244613273249342e-06
380.1503759398496,2.9245575774439203e-06
380.6015037593985,2.924653841773761e-06
381.0526315789474,2.924750106103602e-06
381.50375939849624,2.924846356222588e-06
381.9548872180451,2.924942606341574e-06
382.406015037594,2.9250388706714148e-06
382.85714285714283,2.9251351350012555e-06
383.30827067669173,2.9252516924316296e-06
383.7593984962406,2.9253937015027986e-06
384.2105263157895,2.9255357105739677e-06
384.6616541353383,2.925677705434282e-06
385.1127819548872,2.925819714505451e-06
385.56390977443607,2.9259617093657653e-06
386.01503759398497,2.9261037184369343e-06
386.4661654135338,2.9262457132972486e-06
386.9172932330827,2.9263877223684176e-06
