Temperature (T),v_region_1,v_region_2,v_region_3,v_region_4,v_region_5,v_region_6,v_region_7
329.17293233082705,,1.015813180964204e-06,,,,,
329.62406015037595,,1.017780145777812e-06,,,,,
330.0751879699248,,1.0711240069638234e-06,,,,,
330.5263157894737,,4.972250957214574e-06,,,,,
330.97744360902254,,0.00027771685793959205,0.006518009043731573,,,,
331.42857142857144,,0.004682295628751554,0.14524499095296228,,,,
331.8796992481203,,0.00012582581692795186,0.005970762198674052,,,,
332.3308270676692,,,6.515148816442623e-05,,,,
332.78195488721803,,,1.896145063675503e-06,,,,
333.23308270676694,,,1.2368851114229691e-06,,,,
333.6842105263158,,,1.2322950586868322e-06,,,,
334.1353383458647,,,1.2345328279628717e-06,,,,
334.5864661654135,,,1.23684161223989e-06,,,,
335.0375939849624,,,1.2391511283738053e-06,,,,
335.4887218045113,,,1.241460655165838e-06,,,,
335.9398496240601,,,1.243770178405157e-06,,,,
336.390977443609,,,1.2460797051971895e-06,,,,
336.8421052631579,,,1.2483892284365083e-06,,,,
337.29323308270676,,,1.250698755228541e-06,,,,
337.7443609022556,,,1.2530082820205735e-06,,,,
338.1954887218045,,,1.255317808812606e-06,,,,
338.6466165413534,,,1.2576273356046386e-06,,,,
339.09774436090225,,,1.2599368552912438e-06,,,,
339.5488721804511,,,1.26224638563599e-06,,,,
340.0,,,1.2645559088753089e-06,,,,
340.45112781954884,,,1.2668654321146278e-06,,,,
340.90225563909775,,,1.269174962459374e-06,,,,
341.3533834586466,,,1.2714844856986929e-06,,,,
341.8045112781955,,,1.2737940089380118e-06,,,,
342.25563909774434,,,1.2761035357300443e-06,,,,
342.70676691729324,,,1.2784130625220769e-06,,,,
343.1578947368421,,,1.2807225893141094e-06,,,,
343.609022556391,,,1.283032116106142e-06,,,,
344.0601503759398,,,1.2853416393454609e-06,,,,
344.5112781954887,,,1.2876511625847797e-06,,,,
344.9624060150376,,,1.2899606893768123e-06,,,,
345.4135338345865,,,1.2922702161688449e-06,,,,
345.8646616541353,,,1.2945797394081637e-06,,,,
346.3157894736842,,,1.2968892626474826e-06,,,,
346.76691729323306,,,1.2991987929922288e-06,,,,
347.21804511278197,,,1.3015083162315477e-06,,,,
347.6691729323308,,,1.3038178430235803e-06,,,,
348.1203007518797,,,1.3061273698156128e-06,,,,
348.57142857142856,,,1.3084368966076454e-06,,,,
349.02255639097746,,,1.3107464162942506e-06,,,,
349.4736842105263,,,1.3130559430862832e-06,,,,
349.9248120300752,,,1.3153654698783157e-06,,,,
350.37593984962405,,,1.3176749966703483e-06,,,,
350.82706766917295,,,1.3199845234623808e-06,,,,
351.2781954887218,,,1.322294043148986e-06,,,,
351.7293233082707,,,1.3246035699410186e-06,,,,
352.18045112781954,,,1.3269130967330511e-06,,,,
352.63157894736844,,,1.3292226235250837e-06,,,,
353.0827067669173,,,1.3315321503171162e-06,,,,
353.5338345864661,,,1.333841673556435e-06,,,,
353.98496240601503,,,1.3361512003484418e-06,,,,
354.43609022556393,,,1.338460815955991e-06,,,,
354.8872180451128,,,1.3407811356801226e-06,,,,
355.3383458646616,,,1.3442887744880586e-06,,,,
355.7894736842105,,,1.4752958912715297e-06,,,,
356.2406015037594,,,1.4977261017770919e-05,,,,
356.69172932330827,,,0.0013765303478910885,0.006284421858774171,,,
357.1428571428571,,,0.03573360914918133,0.1700718289915386,,,
357.593984962406,,,0.0016969986480784049,0.008336864878384222,,,
358.0451127819549,,,,0.00010424142470837002,,,
358.49624060150376,,,,4.128387658021302e-07,,,
358.9473684210526,,,,8.542012484002916e-07,,,
359.3984962406015,,,,8.705455626085816e-07,,,
359.8496240601504,,,,8.717913715357246e-07,,,
360.30075187969925,,,,8.728563614113059e-07,,,
360.7518796992481,,,,8.739192196571819e-07,,,
361.203007518797,,,,8.749820494813321e-07,,,
361.6541353383459,,,,8.76044879305482e-07,,,
362.10526315789474,,,,8.77107709129632e-07,,,
362.5563909774436,,,,8.781705389537819e-07,,,
363.0075187969925,,,,8.792333545670772e-07,,,
363.45864661654133,,,,8.802961986020819e-07,,,
363.90977443609023,,,,8.813590142153771e-07,,,
364.3609022556391,,,,8.824218440395271e-07,,,
364.812030075188,,,,8.83484673863677e-07,,,
365.2631578947368,,,,8.845474894769723e-07,,,
365.7142857142857,,,,8.856103335119769e-07,,,
366.16541353383457,,,,8.866731491252722e-07,,,
366.61654135338347,,,,8.877359789494221e-07,,,
367.0676691729323,,,,8.887988087735721e-07,,,
367.5187969924812,,,,8.89861638597722e-07,,,
367.96992481203006,,,,8.90924468421872e-07,,,
368.42105263157896,,,,8.91987298246022e-07,,,
368.8721804511278,,,,8.930501280701719e-07,,,
369.3233082706767,,,,8.941129436834672e-07,,,
369.77443609022555,,,,8.951757877184718e-07,,,
370.22556390977445,,,,8.962386175426218e-07,,,
370.6766917293233,,,,8.97301433155917e-07,,,
371.1278195488722,,,,8.983642487692123e-07,,,
371.57894736842104,,,,8.99427092804217e-07,,,
372.03007518796994,,,,9.004899084175122e-07,,,
372.4812030075188,,,,9.015527524525169e-07,,,
372.93233082706763,,,,9.026155680658121e-07,,,
373.38345864661653,,,,9.036783978899621e-07,,,
373.83458646616543,,,,9.04741227714112e-07,,,
374.2857142857143,,,,9.05804057538262e-07,,,
