region_id,T_low,T_high,n_points,mean_abs_linearization_error,rmse_linearization_error,max_abs_linearization_error,mean_abs_nonlinear_residual,mean_abs_linearized_residual,mean_abs_y_PL_error_scaled,rmse_y_PL_error_scaled,max_abs_y_PL_error_scaled,mean_abs_y_PL_error_original,rmse_y_PL_error_original,max_abs_y_PL_error_original,mean_abs_f_PL,max_abs_f_PL,mean_abs_dCa,mean_abs_dCb,max_abs_dCa,max_abs_dCb,mean_abs_df_dCa,mean_abs_df_dCb,max_abs_df_dCa,max_abs_df_dCb,mean_amplification,max_amplification
10,386.875,392.5,6,0.0037728864918542943,0.0064634634950777245,0.015244858305957898,1.9539925233402755e-14,0.0037728864918608073,8.518615423055679e-06,1.8812268758071993e-05,6.858458457303929e-05,1.4086676150801588e-05,3.4413541983142235e-05,0.00013629985974572545,0.003429354380587076,0.012760974340483955,8.527743812380972e-06,3.373228464002379e-05,3.445750259667424e-05,0.00013629985974572545,89.258439407844,88.25843940784391,98.09586817833743,97.09586817833718,107.4410034178956,118.17468134249515
11,392.5,398.125,6,0.003924561504419953,0.005885451888127042,0.01253204385636586,5.921189464667502e-15,0.003924561504414031,6.148485842556574e-06,1.1891408555405209e-05,3.9165438882049486e-05,1.0171987113727354e-05,2.1763727533445667e-05,7.783445594566896e-05,0.0037897910519504308,0.01079762022195041,6.141157596247411e-06,2.4374803744934653e-05,1.9610154214311226e-05,7.783445594566896e-05,129.8019933401433,128.80199334014387,144.02289506246257,143.02289506246302,156.60845134429192,173.87048632582162
12,398.125,403.75,6,0.007440026878977722,0.009335787297993578,0.015386360553584666,1.3381888190148553e-13,0.0074400268790949615,8.16600924807842e-06,1.3218929690859963e-05,3.371415437125602e-05,1.3513943312510386e-05,2.4201358696330597e-05,6.700098193856974e-05,0.00807874466868815,0.017921186361036234,8.14371312396478e-06,3.239811681356638e-05,1.6841620118612788e-05,6.700098193856974e-05,193.3240723891541,192.3240723891538,214.5575203169274,213.55752031692964,233.64465977817557,259.40684004148403
13,403.75,409.375,4,0.006781747120592471,0.009753361757348046,0.01790762912580801,2.1316282072803006e-14,0.006781747120592471,5.264106257923951e-06,9.768753189189588e-06,2.77647055689223e-05,8.713430180116536e-06,1.7888781774369435e-05,5.5177493579416925e-05,0.007313363418329999,0.02074642150147099,5.244179414914951e-06,2.0896111125434658e-05,1.3847585048631927e-05,5.5177493579416925e-05,264.19153208421886,263.1915320842195,301.37516078368793,300.37516078368395,319.57845087299796,364.68512128340484
14,409.375,415.0,5,0.0062819305271375695,0.008685143826476633,0.018100932901045308,4.831690603168681e-14,0.006281930527163149,3.4801922875304923e-06,6.209440474274387e-06,2.0037462230670933e-05,5.761447319178418e-06,1.137265660798196e-05,3.982094968868477e-05,0.005736623442732025,0.015893287225111408,3.4644774877801154e-06,1.381986446975514e-05,9.982643754624654e-06,3.982094968868477e-05,346.75576189820106,345.7557618981972,382.1008375864865,381.10083758647755,419.69233163312185,462.57345513903994
15,415.0,420.625,4,0.013342845689503724,0.019016606116204128,0.036646221674825785,2.0605739337042905e-13,0.01334284568969557,5.32283294180554e-06,9.791228161701885e-06,2.921909130632061e-05,8.812837503396898e-06,1.793469252824523e-05,5.8067830719377156e-05,0.012181746452640141,0.03113127681663741,5.29608446669938e-06,2.1142428043491313e-05,1.454573408765647e-05,5.8067830719377156e-05,499.2278807444008,498.22788074439535,543.9139871925966,542.9139871925984,604.5931484719948,658.8012401492131
16,420.625,426.25,4,0.0178643781498318,0.02155279228222111,0.03385576334972251,6.792788553866558e-12,0.01786437814303901,5.176022298838956e-06,8.060331303965188e-06,1.9609317569446727e-05,8.570387460336374e-06,1.4765323049459818e-05,3.897008709852212e-05,0.016466173372357673,0.029505137373263324,5.14815321150941e-06,2.0563009169499713e-05,9.756547662664872e-06,3.897008709852212e-05,666.3348578980399,665.334857898047,759.0179737956867,758.0179737956886,807.2316318952646,919.6503888735682
17,426.25,429.0625,4,0.007428423966536035,0.008395545743618418,0.011866946792981725,4.263256414560601e-14,0.007428423966493403,1.702590938128708e-06,2.483825392760073e-06,5.4377319552156855e-06,2.819239967135253e-06,4.550190499309595e-06,1.0806540674423992e-05,0.00740277001592915,0.012774314802186382,1.6930847225316015e-06,6.7646351788741566e-06,2.7047118485445942e-06,1.0806540674423992e-05,863.7635260262323,862.7635260262422,946.2652265776214,945.2652265776037,1046.659860573275,1146.7198883976741
18,429.0625,431.875,2,0.0018551893153578858,0.0018689694951979435,0.002081727564142488,1.4210854715202004e-13,0.0018551893153863075,3.6461736305226644e-07,4.741537614661031e-07,8.180157309856106e-07,6.037657376186297e-07,8.686356955700029e-07,1.6256631151234657e-06,0.001865124661662776,0.002142573512458057,3.625423935782468e-07,1.4487548192776423e-06,4.068126566725283e-07,1.6256631151234657e-06,1027.1175108946006,1026.1175108946095,1054.9704552376875,1053.970455237697,1244.763116642553,1278.5442172794267
19,431.875,437.5,6,0.013764035814262054,0.02167804167258501,0.04631023807138668,5.400124791776761e-13,0.013764035814764172,2.1560382831822513e-06,4.383389453348163e-06,1.4504575691465238e-05,3.5702535544542466e-06,8.030464934999703e-06,2.88253059302912e-05,0.014468634197138877,0.05234474663598121,2.143485699740433e-06,8.567274963622307e-06,7.21193510355711e-06,2.88253059302912e-05,1311.7396774203262,1310.739677420297,1453.3511077156259,1452.3511077156145,1589.911604248119,1761.6304875259211
