region_id,iT,iC,T_low,T_high,C_low,C_high,Tss,Caoss,Cass,Cbss,fss,aCa,aCb,aT,aCao,b
10,3,1,329.0909090909091,345.45454545454544,0.9333333333333333,1.0666666666666667,337.27272727272725,1.0,0.5850717351331421,1.1701434702662843,-5.595524044110789e-14,-2.9823222004396293,-1.9823222004396293,-0.044843794672314426,1.407066025359728,-17.781996708375527
11,3,2,329.0909090909091,345.45454545454544,1.0666666666666667,1.2,337.27272727272725,1.1333333333333333,0.6901089193792315,1.113551172092463,4.093392291792952e-13,-2.8336367997688807,-2.175263554523206,-0.04790192979375047,1.407066025359728,-18.939124984975376
12,4,0,345.45454545454544,361.8181818181818,0.8,0.9333333333333333,353.6363636363636,0.8666666666666667,0.4141012114771872,1.0948690896203743,-9.410250356722827e-13,-8.61373537537268,-6.130527382471137,-0.059075214137501164,2.5240406819607992,-28.98272517268313
13,4,1,345.45454545454544,361.8181818181818,0.9333333333333333,1.0666666666666667,353.6363636363636,1.0,0.5116214055658617,1.023242811131723,-1.0702549957386509e-13,-7.8430228495927805,-6.843022849592781,-0.06375004922602603,2.5240406819607992,-31.035027219419874
14,4,2,345.45454545454544,361.8181818181818,1.0666666666666667,1.2,353.6363636363636,1.1333333333333333,0.6145013182977527,0.9623359699295052,7.269740365245525e-13,-7.228660872355233,-7.532327599261375,-0.0677252583865584,2.5240406819607992,-32.780186084252456
15,5,0,361.8181818181818,378.1818181818182,0.8,0.9333333333333333,370.0,0.8666666666666667,0.3803017922899759,1.0272702512459522,-2.33946195749013e-12,-26.83518678908399,-20.446644380534625,-0.103544145549741,6.077101861982213,-64.25421138193727
16,5,1,361.8181818181818,378.1818181818182,0.9333333333333333,1.0666666666666667,370.0,1.0,0.47627655686936,0.9525531137387204,-3.3661962106634746e-13,-23.925377460206953,-22.925377460206946,-0.11149755930201233,6.077101861982213,-68.40973116166478
17,5,2,361.8181818181818,378.1818181818182,1.0666666666666667,1.2,370.0,1.1333333333333333,0.5782961321656822,0.8899255976653656,1.6626700016786344e-12,-21.655588250915123,-25.323689773038637,-0.11816406934542545,6.077101861982213,-71.8928662292031
18,6,0,378.1818181818182,394.54545454545456,0.8,0.9333333333333333,386.3636363636364,0.8666666666666667,0.3596287796605991,0.9859242259871948,-6.45172804070171e-12,-82.29046122830417,-63.43486664929841,-0.22397731896475737,16.274473984960522,-164.56813724894945
19,6,1,378.1818181818182,394.54545454545456,0.9333333333333333,1.0666666666666667,386.3636363636364,1.0,0.4546731687066491,0.9093463374133004,-1.1262102361797588e-12,-72.43364519271333,-71.43364519271319,-0.24089095659810345,16.274473984960522,-174.68859057821555
20,6,2,378.1818181818182,394.54545454545456,1.0666666666666667,1.2,386.3636363636364,1.1333333333333333,0.5562221283654394,0.8457775900648783,4.249045559845399e-12,-64.85636256335536,-79.17382951887711,-0.25493128569930157,16.274473984960522,-183.0897694657351
21,7,0,394.54545454545456,410.9090909090909,0.8,0.9333333333333333,402.72727272727275,0.8666666666666667,0.3438940176294077,0.9544547019248116,-1.693933882052079e-11,-236.16453796162892,-181.2012407757538,-0.52359584549649,43.018827722051554,-427.7472908765824
22,7,1,394.54545454545456,410.9090909090909,0.9333333333333333,1.0666666666666667,402.72727272727275,1.0,0.4382339091009677,0.8764678182019323,-2.8137492336099967e-12,-205.89080633744328,-204.89080633744388,-0.5626506893131644,43.018827722051554,-453.38448079257853
