Temperature (T),Ca,Cb,res_nonlinear,res_lin_500K,res_lin_600K,res_affine
512.7855711422845,0.367276005077045,0.7345520101527839,-6.293703336268663e-10,-14.617296973789053,-13582.236022705445,-1749.3148414661289
513.4268537074148,0.3669754618007265,0.7339509236030586,-1.7628553905524313e-07,-16.171926065602747,-13362.952267727582,-1808.2245971905547
514.0681362725451,0.3666758533070685,0.7333517066156863,-1.809767127269879e-07,-17.802594602100726,-13145.795250156196,-1864.6664912351598
514.7094188376753,0.3663771753713497,0.732754350743892,-5.220499588176608e-10,-19.508958997335867,-12930.755360280396,-1918.6782693263465
515.3507014028056,0.3660794237985876,0.7321588475969961,-7.366907084360719e-10,-21.29067799274344,-12717.823053483618,-1970.2974514648897
515.9919839679359,0.365782594414941,0.7315651888285875,-7.585185812786222e-10,-23.147412103317038,-12506.988834753865,-2019.5613309961311
516.6332665330661,0.3654866830727619,0.7309733661425435,1.9972503650933504e-07,-25.078823917880072,-12298.24326708098,-2066.5069777907024
517.2745490981964,0.3651916856535901,0.7303833713091694,-2.0651896193157881e-07,-27.08457861783245,-12091.576985967113,-2111.171242973563
517.9158316633267,0.3648975980565427,0.7297951961126871,2.1052801457699388e-07,-29.164342238538666,-11886.980650798185,-2153.5907510265833
518.5571142284568,0.3646044162166735,0.7292088324313942,-9.276845958083868e-10,-31.31778434063017,-11684.445019558538,-2193.8019165674314
519.1983967935871,0.3643121360820419,0.7286242721686228,-4.458452167455107e-07,-33.54457551619271,-11483.960879080696,-2231.8409319920956
519.8396793587174,0.3640207536287514,0.7280415072607264,-6.330083124339581e-10,-35.84438801309443,-11285.519062507665,-2267.74377233165
520.4809619238476,0.3637302648635635,0.7274605297298188,-9.240466170012951e-10,-38.21689723587042,-11089.110491270665,-2301.546206475055
521.1222444889779,0.363440665812048,0.7268813316190779,-1.0913936421275139e-09,-40.6617796701903,-10894.726117039332,-2333.283786000261
521.7635270541082,0.3631519525167868,0.7263039050338722,-9.349605534225702e-10,-43.178713949309895,-10702.35695154802,-2362.9918534347166
