batch_idx,batch_size,batch_MSE_total,batch_RMSE_total,batch_MSE_inner,batch_RMSE_inner
-1,8,0.40913679548022364,0.6320247590441227,0.40913679548022364,0.6320247590441227
2,8,0.0002348996987668648,0.015326437902097955,0.0002348996987668648,0.015326437902097955
-1,8,0.0002348996987668648,0.05372828183375828,0.0002348996987668648,0.05372828183375828
2,8,0.0007625816217335841,0.027614880440327533,0.0007625816217335841,0.027614880440327533
-1,8,0.0007625816217335841,0.040946685188803296,0.0007625816217335841,0.040946685188803296
2,8,0.00026629688245404697,0.01631860540775611,0.00026629688245404697,0.01631860540775611
-1,8,0.00026629688245404697,0.03617551279067635,0.00026629688245404697,0.03617551279067635
2,8,0.46523358991405084,0.6820803397797439,0.46523358991405084,0.6820803397797439
-1,8,0.46523358991405084,0.6393784182968273,0.46523358991405084,0.6393784182968273
2,8,0.005741773135329545,0.07577448868405214,0.005741773135329545,0.07577448868405214
-1,8,0.005741773135329545,0.06489449316696445,0.005741773135329545,0.06489449316696445
2,8,0.020315175876021385,0.14253131542233582,0.020315175876021385,0.14253131542233582
-1,8,0.020315175876021385,0.08408734537727697,0.020315175876021385,0.08408734537727697
2,8,0.0013769211946055293,0.03710688877561051,0.0013769211946055293,0.03710688877561051
-1,8,0.0013769211946055293,0.06186386564527562,0.0013769211946055293,0.06186386564527562
2,8,0.0002656335709616542,0.016298268955985913,0.0002656335709616542,0.016298268955985913
-1,8,0.0002656335709616542,0.042260279357711,0.0002656335709616542,0.042260279357711
2,8,0.47596311569213867,0.6899008013418586,0.47596311569213867,0.6899008013418586
-1,8,0.47596311569213867,0.6407750194401372,0.47596311569213867,0.6407750194401372
2,8,0.0009558970732565725,0.03091758517828604,0.0009558970732565725,0.03091758517828604
-1,8,0.0009558970732565725,0.05862615342975752,0.0009558970732565725,0.05862615342975752
2,8,0.00024823853543594587,0.015755587435444793,0.00024823853543594587,0.015755587435444793
-1,8,0.00024823853543594587,0.03942437972750128,0.00024823853543594587,0.03942437972750128
