Temperature (T),v_region_1,v_region_2
329.17293233082705,1.447185375980098e-07,
329.62406015037595,1.4329100395116257e-07,
330.0751879699248,1.4186347208067218e-07,
330.5263157894737,1.4043593843382496e-07,
330.97744360902254,1.3900840656333457e-07,
331.42857142857144,1.375808711401305e-07,
331.8796992481203,1.361533374932833e-07,
332.3308270676692,1.347258056227929e-07,
332.78195488721803,1.3329827197594568e-07,
333.23308270676694,1.3187073832909846e-07,
333.6842105263158,1.3044320468225123e-07,
334.1353383458647,1.29015671035404e-07,
334.5864661654135,1.275881373885568e-07,
335.0375939849624,1.261606055180664e-07,
335.4887218045113,1.2473307187121918e-07,
335.9398496240601,1.2330553822437196e-07,
336.390977443609,1.2187800457752473e-07,
336.8421052631579,1.204504709306775e-07,
337.29323308270676,1.1902293906018713e-07,
337.7443609022556,1.175954054133399e-07,
338.1954887218045,1.1616787176649268e-07,
338.6466165413534,1.1474033811964546e-07,
339.09774436090225,1.1331280447279823e-07,
339.5488721804511,1.1188527082595101e-07,
340.0,1.1045773895546063e-07,
340.45112781954884,1.090302053086134e-07,
340.90225563909775,1.0760267343812302e-07,
341.3533834586466,1.061751397912758e-07,
341.8045112781955,1.0474760614442857e-07,
342.25563909774434,1.0332007249758135e-07,
342.70676691729324,1.0189253885073413e-07,
343.1578947368421,1.004650052038869e-07,
343.609022556391,9.903747333339652e-08,
344.0601503759398,9.76099396865493e-08,
344.5112781954887,9.618240426334523e-08,
344.9624060150376,9.475487239285485e-08,
345.4135338345865,9.332733874600763e-08,
345.8646616541353,9.189980687551724e-08,
346.3157894736842,9.047227322867002e-08,
346.76691729323306,8.904473780546596e-08,
347.21804511278197,8.761720593497557e-08,
347.6691729323308,8.618967228812835e-08,
348.1203007518797,8.476213864128113e-08,
348.57142857142856,8.333460677079074e-08,
349.02255639097746,8.190707134758668e-08,
349.4736842105263,8.047953770073946e-08,
349.9248120300752,7.905200583024907e-08,
350.37593984962405,7.762447218340185e-08,
350.82706766917295,7.619694031291147e-08,
351.2781954887218,7.476940666606424e-08,
351.7293233082707,7.334187301921702e-08,
352.18045112781954,7.19143393723698e-08,
352.63157894736844,7.048680572552257e-08,
353.0827067669173,6.905927207867535e-08,
353.5338345864661,6.763174020818497e-08,
353.98496240601503,6.620420656133774e-08,
354.43609022556393,6.477667113813368e-08,
354.8872180451128,6.33491392676433e-08,
355.3383458646616,6.192160562079607e-08,
355.7894736842105,6.049407375030569e-08,
356.2406015037594,5.9066540103458465e-08,
356.69172932330827,5.763900645661124e-08,
357.1428571428571,5.621147280976402e-08,
357.593984962406,5.4783939162916795e-08,
358.0451127819549,5.335640551606957e-08,
358.49624060150376,5.192887364557919e-08,
358.9473684210526,5.0501339998731964e-08,
359.3984962406015,4.907380812824158e-08,
359.8496240601504,4.764627270503752e-08,
360.30075187969925,4.6218739058190295e-08,
360.7518796992481,4.479120718769991e-08,
361.203007518797,4.336367354085269e-08,
361.6541353383459,4.1936139894005464e-08,
362.10526315789474,4.050860624715824e-08,
362.5563909774436,3.908107260031102e-08,
363.0075187969925,3.7653538953463794e-08,
363.45864661654133,3.622600708297341e-08,
363.90977443609023,3.479847343612619e-08,
364.3609022556391,3.3370939789278964e-08,
364.812030075188,3.194340614243174e-08,
365.2631578947368,3.051587249558452e-08,
365.7142857142857,2.9088340625094133e-08,
366.16541353383457,2.766080697824691e-08,
366.61654135338347,2.6233273331399687e-08,
367.0676691729323,2.4805741460909303e-08,
367.5187969924812,2.337820603770524e-08,
367.96992481203006,2.1950672390858017e-08,
368.42105263157896,2.0523140520367633e-08,
368.8721804511278,1.909560687352041e-08,
369.3233082706767,1.7668075003030026e-08,
369.77443609022555,1.6240541356182803e-08,
370.22556390977445,,2.3195850644697202e-06
370.6766917293233,,2.3045427042234223e-06
371.1278195488722,,2.289500116603449e-06
371.57894736842104,,2.2746949071006384e-06
372.03007518796994,,2.2599726889893645e-06
372.4812030075188,,2.244864504064026e-06
372.93233082706763,,2.229676283604931e-06
373.38345864661653,,2.214448159065796e-06
373.83458646616543,,2.199215487053152e-06
374.2857142857143,,2.1840248791704653e-06
374.7368421052631,,2.169024696740962e-06
375.187969924812,,2.154024514311459e-06
375.6390977443609,,2.139142225132673e-06
376.09022556390977,,2.124264028680045e-06
376.5413533834586,,2.1093858322274173e-06
376.9924812030075,,2.0934949134243652e-06
377.4436090225564,,2.0773625237779925e-06
377.89473684210526,,2.0612301341316197e-06
378.3458646616541,,2.0450979718589224e-06
378.796992481203,,2.0289655822125496e-06
379.2481203007519,,2.012833192566177e-06
379.69924812030075,,1.996700802919804e-06
380.1503759398496,,1.980568526960269e-06
380.6015037593985,,1.964436251000734e-06
381.0526315789474,,1.948281919794681e-06
381.50375939849624,,1.9318460999784293e-06
381.9548872180451,,1.9154103938490152e-06
382.406015037594,,1.8989746877196012e-06
382.85714285714283,,1.8825389815901872e-06
383.30827067669173,,1.8661032754607731e-06
383.7593984962406,,1.8496675693313591e-06
384.2105263157895,,1.833231863201945e-06
384.6616541353383,,1.8167962707593688e-06
385.1127819548872,,1.8003606783167925e-06
385.56390977443607,,1.7839249721873784e-06
386.01503759398497,,1.7674892660579644e-06
386.4661654135338,,1.7510535599285504e-06
386.9172932330827,,1.7346178537991364e-06
387.36842105263156,,1.7181821476697223e-06
387.81954887218046,,1.7017464415403083e-06
388.2706766917293,,1.6853107354108943e-06
388.7218045112782,,1.6688750292814802e-06
389.17293233082705,,1.6524393231520662e-06
389.62406015037595,,1.6360036170226522e-06
390.0751879699248,,1.6195679108932381e-06
390.5263157894737,,1.6031323184506618e-06
390.97744360902254,,1.5866967260080855e-06
391.42857142857144,,1.5702610198786715e-06
391.8796992481203,,1.5538252000624198e-06
392.33082706766913,,1.5373896076198434e-06
392.78195488721803,,1.5209539014904294e-06
393.23308270676694,,1.5045180816741777e-06
393.6842105263158,,1.4880824892316014e-06
394.1353383458646,,1.4716467831021873e-06
394.5864661654135,,1.4552110769727733e-06
395.0375939849624,,1.4387753708433593e-06
395.4887218045113,,1.4223396647139452e-06
395.9398496240601,,1.4059039585845312e-06
396.390977443609,,1.3894684798287926e-06
396.8421052631579,,1.3730325463257032e-06
397.29323308270676,,1.3565969538831268e-06
397.7443609022556,,1.340161134066875e-06
398.1954887218045,,1.3237256553111365e-06
398.6466165413534,,1.3072898354948848e-06
399.09774436090225,,1.2908542430523084e-06
399.5488721804511,,1.2744185369228944e-06
400.0,,1.2579828307934804e-06
400.45112781954884,,1.2415471246640664e-06
400.90225563909775,,1.2251114185346523e-06
401.3533834586466,,1.2086757124052383e-06
401.8045112781955,,1.1922400062758243e-06
402.25563909774434,,1.1758043001464102e-06
402.70676691729324,,1.1593685940169962e-06
403.1578947368421,,1.1429328878875822e-06
403.609022556391,,1.1264972954450059e-06
404.0601503759398,,1.1100615893155918e-06
404.5112781954887,,1.0936259968730155e-06
404.9624060150376,,1.0771902907436015e-06
405.4135338345865,,1.0607544709273498e-06
405.8646616541353,,1.0443187647979357e-06
406.3157894736842,,1.0278831723553594e-06
406.76691729323306,,1.0114474662259454e-06
407.21804511278197,,9.950117600965314e-07
407.6691729323308,,9.785760539671173e-07
408.12030075187965,,9.621403478377033e-07
408.57142857142856,,9.457046417082893e-07
409.02255639097746,,9.292689355788752e-07
409.4736842105263,,9.128333431362989e-07
409.92481203007515,,8.963977506937226e-07
410.37593984962405,,8.799618171906332e-07
410.82706766917295,,8.635262247480568e-07
411.2781954887218,,8.470905186186428e-07
411.72932330827064,,8.306549261760665e-07
412.18045112781954,,8.142192200466525e-07
412.63157894736844,,7.977835139172385e-07
413.0827067669173,,7.813478077878244e-07
413.5338345864661,,7.649121016584104e-07
413.98496240601503,,7.484763955289964e-07
414.43609022556393,,7.320406893995823e-07
414.8872180451128,,7.156049832701683e-07
415.3383458646616,,6.991692771407543e-07
415.7894736842105,,6.827335710113402e-07
416.2406015037594,,6.662980922556017e-07
416.69172932330827,,6.498621587525122e-07
417.1428571428571,,6.334265663099359e-07
417.593984962406,,6.169907464936841e-07
418.0451127819549,,6.005552677379455e-07
418.49624060150376,,5.841194479216938e-07
418.9473684210526,,5.676837417922798e-07
