region_id,T_low,T_high,n_points,mean_abs_linearization_error,rmse_linearization_error,max_abs_linearization_error,mean_abs_nonlinear_residual,mean_abs_linearized_residual,mean_abs_y_PL_error_scaled,rmse_y_PL_error_scaled,max_abs_y_PL_error_scaled,mean_abs_y_PL_error_original,rmse_y_PL_error_original,max_abs_y_PL_error_original,mean_abs_f_PL,max_abs_f_PL,mean_abs_dCa,mean_abs_dCb,max_abs_dCa,max_abs_dCb,mean_abs_df_dCa,mean_abs_df_dCb,max_abs_df_dCa,max_abs_df_dCb,mean_amplification,max_amplification
14,295.55555555555554,296.6666666666667,1,2.667934920094651e-17,2.667934920094651e-17,2.667934920094651e-17,1.734723475976807e-17,4.402658396071458e-17,5.070018479121548e-15,7.991806602331275e-15,1.3766765505351941e-14,5.5141076889716106e-15,8.058363476013758e-15,1.3655743202889425e-14,1.4606588508159213e-14,1.4606588508159213e-14,1.3655743202889425e-14,2.886579864025407e-15,1.3655743202889425e-14,2.886579864025407e-15,1.0561453647697514,0.05614536476975126,1.0561453647697514,0.05614536476975126,1.0452621554663644,1.0452621554663644
15,296.6666666666667,297.77777777777777,3,3.491585891085213e-05,4.6780983908950654e-05,7.560473702103291e-05,8.745897524716402e-17,3.4915858910816284e-05,1.215559010637869e-05,2.5375435693991004e-05,7.052954067710004e-05,1.3368574391948841e-05,2.5742244879477754e-05,7.008255982066114e-05,3.483276152144202e-05,7.527284593170872e-05,3.2365601259705855e-05,7.740121916140671e-06,7.008255982066114e-05,1.6760002474969227e-05,1.0631365871411946,0.06313658714119476,1.0660555485687284,0.06605554856872844,1.0493030302123527,1.0521834753449213
16,297.77777777777777,298.8888888888889,1,3.171050395285549e-16,3.171050395285549e-16,3.171050395285549e-16,1.3444106938820255e-17,3.036609325897346e-16,1.0066022089934753e-14,1.5519843096097404e-14,2.6645352591003757e-14,1.117624511455991e-14,1.579745024638804e-14,2.6423307986078726e-14,2.883891042637643e-14,2.883891042637643e-14,2.6423307986078726e-14,7.105427357601002e-15,2.6423307986078726e-14,7.105427357601002e-15,1.0718745486309755,0.0718745486309755,1.0718745486309755,0.0718745486309755,1.0534858777509963,1.0534858777509963
17,298.8888888888889,300.0,1,1.402190090002544e-16,1.402190090002544e-16,1.402190090002544e-16,1.5222198501696482e-16,2.9244099401721923e-16,4.625929269271485e-15,7.061635200248793e-15,1.2101430968414206e-14,5.218048215738236e-15,7.281629990755975e-15,1.2101430968414206e-14,1.3522169495239211e-14,1.3522169495239211e-14,1.2101430968414206e-14,3.552713678800501e-15,1.2101430968414206e-14,3.552713678800501e-15,1.081075662565869,0.08107566256586904,1.081075662565869,0.08107566256586904,1.0600844596439845,1.0600844596439845
18,300.0,301.1111111111111,1,3.559643569579129e-16,3.559643569579129e-16,3.559643569579129e-16,4.597017211338539e-17,3.099941848445275e-16,2.146431180941969e-15,3.2457017739063654e-15,5.551115123125783e-15,2.4424906541753444e-15,3.365032081624177e-15,5.551115123125783e-15,6.162605148407607e-15,6.162605148407607e-15,5.551115123125783e-15,1.7763568394002505e-15,5.551115123125783e-15,1.7763568394002505e-15,1.0912664594525336,0.09126645945253364,1.0912664594525336,0.09126645945253364,1.065226882133244,1.065226882133244
19,301.1111111111111,302.22222222222223,2,8.073001406162627e-06,1.1416948077529338e-05,1.6146002812151422e-05,1.0863705768304754e-16,8.0730014061919e-06,2.8157662310124287e-06,5.915319969193538e-06,1.424524452398046e-05,3.236681746019802e-06,6.165557364179164e-06,1.4154965308432743e-05,8.048668791984116e-06,1.6097337564383203e-05,7.077482662765089e-06,2.6325625752665616e-06,1.4154965308432743e-05,5.26512514409383e-06,1.1012714686665723,0.10127146866657229,1.1025246266454891,0.10252462664548898,1.066758925980384,1.0676433245553485
20,302.22222222222223,303.3333333333333,2,3.673576184138528e-07,5.195221261192455e-07,7.347152367107425e-07,1.1535911115245767e-16,3.673576185292119e-07,1.2788225902301184e-07,2.651658406998484e-07,6.361421653888755e-07,1.4879184003409782e-07,2.7913475074322044e-07,6.32110615406134e-07,3.6709427813806303e-07,7.341885457350789e-07,3.160553122549814e-07,1.3032020784731202e-07,6.32110615406134e-07,2.6064041191986576e-07,1.1146358486180206,0.11463584861802063,1.1149308476788902,0.11493084767889017,1.0740561420179042,1.0743254554467336
21,303.3333333333333,304.44444444444446,1,6.092788549722531e-17,6.092788549722531e-17,6.092788549722531e-17,1.0234868508263162e-16,4.1420799585406307e-17,6.772360450213455e-15,9.796211045615835e-15,1.6542323066914832e-14,7.993605777301127e-15,1.0440032650238046e-14,1.6431300764452317e-14,1.9600640555061943e-14,1.9600640555061943e-14,1.6431300764452317e-14,7.549516567451064e-15,1.6431300764452317e-14,7.549516567451064e-15,1.1285689689275116,0.12856896892751152,1.1285689689275116,0.12856896892751152,1.0782862886557891,1.0782862886557891
22,304.44444444444446,305.55555555555554,1,2.4286128663675256e-17,2.4286128663675256e-17,2.4286128663675256e-17,3.8163916471489756e-17,1.38777878078145e-17,1.8503717077085944e-15,2.642859423360307e-15,4.440892098500626e-15,2.220446049250313e-15,2.8665835232995053e-15,4.440892098500626e-15,5.367234434672241e-15,5.367234434672241e-15,4.440892098500626e-15,2.220446049250313e-15,4.440892098500626e-15,2.220446049250313e-15,1.1435263043034796,0.14352630430347973,1.1435263043034796,0.14352630430347973,1.0886855965452098,1.0886855965452098
23,305.55555555555554,306.6666666666667,1,1.625799624831083e-16,1.625799624831083e-16,1.625799624831083e-16,5.204170427930421e-18,1.6778413291103872e-16,1.0066022089934753e-14,1.4167130241198291e-14,2.3647750424515834e-14,1.2101430968414206e-14,1.5433963613502184e-14,2.3425705819590803e-14,2.9215345420663397e-14,2.9215345420663397e-14,2.3425705819590803e-14,1.2878587085651816e-14,2.3425705819590803e-14,1.2878587085651816e-14,1.159894099298718,0.1598940992987177,1.159894099298718,0.1598940992987177,1.0926864502347786,1.0926864502347786
