region_id,iT,iC,T_low,T_high,C_low,C_high,Tss,Caoss,Cass,Cbss,Ccss,fss,aT,aCao,aCa,aCb,aCc,b,estimated_T_axis_bound,estimated_C_axis_bound
12,4,0,422.7337155613557,431.8213792749726,0.8,0.9205769491553575,427.2775474181642,0.8602884745776788,0.3202423782046546,0.9199078072539346,1.6201382891190899,-9.606537787476555e-12,-1.802033635870087,1.0,-841.6199480658654,-585.2806753287495,165.82663778940855,-1308.3727749693799,32579.96368450046,83.89114889822508
13,4,1,422.7337155613557,431.8213792749726,0.9205769491553575,1.0548895757784482,427.2775474181642,0.9877332624669029,0.4090303009155919,0.8425940768973769,1.7361088846539339,-1.0118128557223827e-11,-1.9310244234647005,1.0,-706.2577803999242,-684.7230714041148,165.82663778940855,-1402.0269839426587,32579.96368450046,83.89114885939257
14,4,2,422.7337155613557,431.8213792749726,1.0548895757784482,1.2,427.2775474181642,1.1274447878892242,0.5142279139386549,0.773566252098877,1.8396506218516926,-1.0800249583553523e-11,-2.046190946223838,1.0,-595.4373806189138,-790.3041100188811,165.82663778940855,-1485.6440374574188,32579.96368450046,83.89114886457106
15,5,0,431.8213792749726,439.22094915826335,0.8,0.9205769491553575,435.521164216618,0.8602884745776788,0.31448068611307645,0.9083844230708024,1.6374233653938002,-1.6370904631912708e-11,-2.668153358503762,1.0,-1325.0821914477563,-916.7886755014089,253.96759142257795,-1994.83380907723,32579.963629812606,83.89114889822508
16,5,1,431.8213792749726,439.22094915826335,0.9205769491553575,1.0548895757784482,435.521164216618,0.9877332624669029,0.40300819951472433,0.8305498740956437,1.7541751888565345,-1.750777300912887e-11,-2.8583984572773566,1.0,-1107.8965178556157,-1074.2000850842085,253.96759142257795,-2137.069769328638,32579.963629812606,83.89114885939257
17,5,2,431.8213792749726,439.22094915826335,1.0548895757784482,1.2,435.521164216618,1.1274447878892242,0.5080878435963446,0.7612861114142639,1.8580708328786157,-1.858779796748422e-11,-3.0276946316145015,1.0,-930.9752730128814,-1241.3444143496656,253.96759142257795,-2263.6433529792257,32579.963629812606,83.89114886457106
18,6,0,439.22094915826335,445.4738875051973,0.8,0.9205769491553575,442.3474183317303,0.8602884745776788,0.3099322545558003,0.8992875599561855,1.6510686600656932,-2.114575181622058e-11,-3.65520327712062,1.0,-1905.3823716959155,-1312.660261918432,357.1499962651655,-2797.3287771040605,32579.963684295024,83.89114889822508
19,6,1,439.22094915826335,445.4738875051973,0.9205769491553575,1.0548895757784482,442.3474183317303,0.9877332624669029,0.3982535588636297,0.8210405927935314,1.768439110809742,-2.2396307031158358e-11,-3.9150427777866135,1.0,-1588.3995032922526,-1539.9664939184681,357.1499962651655,-2996.1840684611893,32579.963684295024,83.89114885939257
20,6,2,439.22094915826335,445.4738875051973,1.0548895757784482,1.2,442.3474183317303,1.1274447878892242,0.5032424633129068,0.7515953508475478,1.8726069737287696,-2.376054908381775e-11,-4.145653849949504,1.0,-1331.225139569982,-1781.3462396835341,357.1499962651655,-3172.670829818067,32579.963684295024,83.89114886457106
21,7,0,445.4738875051973,450.898308414786,0.8,0.9205769491553575,448.1860979599917,0.8602884745776788,0.30618861423279636,0.8918002793102383,1.6622995810346441,-2.808064891723916e-11,-4.749453822791402,1.0,-2577.009639908948,-1768.8822042175166,474.15684334293644,-3706.1288200661356,32579.963684496586,83.89114889822508
22,7,1,445.4738875051973,450.898308414786,0.9205769491553575,1.0548895757784482,448.1860979599917,0.9877332624669029,0.3943397104614772,0.8132128959892702,1.7801806560161555,-2.9899638320785016e-11,-5.086258769741583,1.0,-2143.0065278242614,-2077.38524107212,474.15684334293644,-3968.946939202895,32579.963684496586,83.89114885939257
23,7,2,445.4738875051973,450.898308414786,1.0548895757784482,1.2,448.1860979599917,1.1274447878892242,0.4992555220288803,0.7436214682793626,1.8845677975809811,-3.171862772433087e-11,-5.384509406517132,1.0,-1792.0846606137547,-2405.0110045954325,474.15684334293644,-4201.680074801065,32579.963684496586,83.89114886457106
24,8,0,450.898308414786,455.69479302050746,0.8,0.9205769491553575,453.2965507176467,0.8602884745776788,0.3030159228190865,0.8854548964828919,1.6718176552757,-3.5925040720030665e-11,-5.940283996743922,1.0,-3335.298561721958,-2282.0937794747474,604.006232316175,-4713.401357276321,32579.963683407917,83.89114889822508
25,8,1,450.898308414786,455.69479302050746,0.9205769491553575,1.0548895757784482,453.2965507176467,0.9877332624669029,0.39102238793376093,0.80657825093374,1.790132623599402,-3.842615114990622e-11,-6.360679433226281,1.0,-2767.7161921797183,-2682.5617252850743,604.006232316175,-5046.96999170438,32579.963683407917,83.89114885939257
26,8,2,450.898308414786,455.69479302050746,1.0548895757784482,1.2,453.2965507176467,1.1274447878892242,0.4958773859221703,0.7368651960658028,1.8947022059012515,-4.069988790433854e-11,-6.732234916166448,1.0,-2310.126289395433,-3107.8778432285053,604.006232316175,-5341.785882418293,32579.963683407917,83.89114886457106
27,9,0,455.69479302050746,460.0,0.8,0.9205769491553575,457.8473965102537,0.8602884745776788,0.3002682111622218,0.8799594731689465,1.6800607902465106,-3.5925040720030665e-11,-7.2192390941108755,1.0,-4176.268219487267,-2849.4501340454663,745.8898549382818,-5812.7104627995395,32579.963684312715,83.89114889822508
28,9,1,455.69479302050746,460.0,0.9205769491553575,1.0548895757784482,457.8473965102537,0.9877332624669029,0.3881491104258838,0.8008316959180242,1.7987524561229946,-3.888089850079268e-11,-7.729258445443378,1.0,-3459.131827860628,-3352.1919763199226,745.8898549382818,-6223.362441640218,32579.963684312715,83.89114885939257
29,9,2,455.69479302050746,460.0,1.0548895757784482,1.2,457.8473965102537,1.1274447878892242,0.4929522844592655,0.7310149931401296,1.9034775102898291,-4.0245140553452075e-11,-8.179263117633312,1.0,-2882.453441462259,-3886.1557419781952,745.8898549382818,-6585.692436844419,32579.963684312715,83.89114886457106
