region_id,A_T,B_Ca,B_Cb,B_Cc,b
38,-0.41131502978484,-141.48443123954922,-140.48443123954917,0.0,-350.7025489717922
39,-0.45916962587424015,-161.58460271338512,-160.5846027133851,0.0,-396.4433456459206
40,-0.49412075563260194,-176.42690726150377,-175.4269072615038,0.0,-430.0527099312734
41,-0.5317009621097251,-192.52725075275237,-191.52725075275237,0.0,-466.36681024781194
42,-0.57208421557349,-209.981932696502,-208.98193269650181,0.0,-505.58077330354524
43,-0.6383198361274598,-238.93019817242302,-237.93019817241802,0.0,-570.2964052129005
44,-0.7119432084251187,-271.53552114210527,-270.5355211421088,0.0,-642.7627008109852
45,-0.7654833529052691,-295.50736349568984,-294.50736349568984,0.0,-695.7850064131414
46,-0.8530512110352699,-335.15036345519525,-334.15036345519076,0.0,-783.0457466058604
47,-0.9846535283503002,-395.6551268096473,-394.6551268096415,0.0,-915.3320925240804
48,-1.076377198777724,-438.4236445036993,-437.42364450369865,0.0,-1008.2698599455873
49,-1.115262638654551,-456.6927237946135,-455.69272379462785,0.0,-1047.8394334565764
50,-1.1760614299378158,-485.41353144079585,-484.4135314407855,0.0,-1109.9000245772506
51,-1.3070439083974605,-547.9022063876472,-546.9022063876489,0.0,-1244.3532895090696
52,-1.4514803661706974,-617.7118387024325,-616.7118387024125,0.0,-1393.7206520844993
53,-1.5558369643362706,-668.6949817556917,-667.694981755694,0.0,-1502.3047398946624
54,-1.7254186172062962,-752.4465477747674,-751.4465477747696,0.0,-1679.8544853427793
55,-1.9118723875181427,-845.7256176472869,-844.7256176473261,0.0,-1876.5185613567937
56,-2.0118786938489954,-896.237321869458,-895.2373218694411,0.0,-1982.5827014599743
57,-2.081189622807649,-931.432292805406,-930.4322928053889,0.0,-2056.317978844421
58,-2.1892628795652094,-986.6044892580826,-985.6044892580904,0.0,-2171.644842975546
59,-2.341345865826252,-1064.8264467428494,-1063.826446742859,0.0,-2334.636490557129
60,-2.4616724320212278,-1127.1756459832984,-1126.1756459831938,0.0,-2464.147582840401
61,-2.5449952820369077,-1170.5796649078713,-1169.5796649079748,0.0,-2554.1051026173554
62,-2.674805751320857,-1238.5595435582559,-1237.559543558239,0.0,-2694.682943524671
63,-2.857261308697719,-1334.8200029030927,-1333.8200029031,0.0,-2893.123146476683
64,-3.050961390916715,-1437.878030001802,-1436.8780300017906,0.0,-3104.825685758382
65,-3.3639219714918625,-1606.156101460014,-1605.1561014600204,0.0,-3448.9772372492125
66,-3.705698214991738,-1792.2505670069381,-1791.2505670069609,0.0,-3827.57314368606
67,-3.888104210560517,-1892.4984250486173,-1891.4984250486073,0.0,-4030.729873264408
68,-4.014176517376651,-1962.1464264512135,-1961.14642645103,0.0,-4171.5700974203955
69,-4.143930166047063,-2034.1265524653668,-2033.1265524654054,0.0,-4316.874975132477
70,-4.277458823220073,-2108.508749897349,-2107.508749897149,0.0,-4466.770221776469
71,-4.485039789049274,-2224.74347687645,-2223.7434768764533,0.0,-4700.502600782338
72,-4.701661795849631,-2346.795086477793,-2345.795086477767,0.0,-4945.30172068118
73,-4.851267770502609,-2431.522459095735,-2430.522459095648,0.0,-5114.877893388435
74,-5.083723784960377,-2563.8518904057264,-2562.8518904057737,0.0,-5379.161525183374
75,-5.326157395184552,-2702.7145820592636,-2701.7145820592673,0.0,-5655.787521822154
76,-5.493505968745183,-2799.0610578532564,-2798.0610578527203,0.0,-5847.312949352505
77,-5.753400503057875,-2949.457928315215,-2948.4579283153316,0.0,-6145.652384852026
78,-6.024289572600239,-3107.1808170945087,-3106.1808170945897,0.0,-6457.735530533199
79,-6.2111889456561045,-3216.5561374509903,-3215.5561374519853,0.0,-6673.702080787716
80,-6.354761227309993,-3300.8755076061225,-3299.8755076056136,0.0,-6839.951201689654
81,-6.4521232009755565,-3358.201116291574,-3357.2011162910585,0.0,-6952.859998195626
82,-6.600676282294167,-3445.8901214870984,-3444.890121487273,0.0,-7125.3924876558085
83,-6.90701754825286,-3627.5498326011248,-3626.549832601427,0.0,-7482.145781887517
84,-7.226041192884487,-3817.8829340277402,-3816.8829340275656,0.0,-7855.002904048427
85,-7.445993178314069,-3949.7718737372206,-3948.7718737364426,0.0,-8112.837062897423
86,-7.7871703415057,-4155.387319045979,-4154.387319045968,0.0,-8513.97156831343
87,-8.142271585489027,-4370.690696453665,-4369.690696453026,0.0,-8932.97131598692
88,-8.325196649210554,-4482.101782407656,-4481.101782407927,0.0,-9149.389162563624
89,-8.449179615464487,-4557.80342866554,-4556.80342866566,0.0,-9296.290698384157
