region_id,depth,n_samples,criterion,criterion_score,remainder_score,remainder_max,remainder_mean,projected_score,projected_max,projected_mean,stop_reason,anchor_row_index,T_low,T_high,T_center,anchor_T,Cao_low,Cao_high,Cao_center,anchor_Cao,anchor_Ca,data_Ca_min,data_Ca_max,anchor_Cb,data_Cb_min,data_Cb_max,anchor_Cc,data_Cc_min,data_Cc_max
10,8,15,projection,0.6550756055355293,0.7932476466861829,0.7932476466861829,0.31180788245658847,0.6550756055355293,0.6550756055355293,0.2602820237219921,tolerance_met,347,401.31995334170927,419.090909090909,410.20543121630914,412.207042921971,1.0,1.109422491324,1.054711245662,1.049561112776,0.4667669132375275,0.4276146091808983,0.4937563761518908,0.8344116009230537,0.8095579021848718,0.8764678182019315,1.7483825986154191,1.6852982726970998,1.7856631467227075
11,8,16,projection,0.6082223703425029,0.6417065415197385,0.6417065415197385,0.2070902386385738,0.6082223703425029,0.6082223703425029,0.19643470776665506,tolerance_met,345,401.31995334170927,420.84415584415547,411.08205459293237,411.33798035739,1.109422491324,1.2,1.154711245662,1.155395954765,0.5490344174874329,0.508880170762526,0.5823069251471134,0.7872769254448725,0.7639000132597313,0.8222871206964802,1.8190846118326944,1.7665693189552791,1.854149980110413
12,7,6,projection,0.6880498425367705,1.3474511775674216,1.3474511775674216,0.47767838897244747,0.6880498425367705,0.6880498425367705,0.392371672843242,tolerance_met,359,404.87379269896553,427.89162227131703,416.3827074851413,416.391192155492,0.91466443388825,0.9884896576405,0.9515770457643751,0.942139672469,0.3847692755570927,0.3823394517610906,0.4270522609012176,0.8852592061761851,0.8629558565436368,0.8852592061761851,1.672111190735722,1.672111190735722,1.705566215184554
13,7,2,projection,0.004856060141435137,0.0049875278801323475,0.0049875278801323475,0.0024937639401656497,0.004856060141435137,0.004856060141435137,0.002428030070760201,tolerance_met,381,404.87379269896553,427.89162227131703,416.3827074851413,424.338504169295,0.9884896576405,1.0,0.99424482882025,0.993203365374,0.4152379264812682,0.4134000836197193,0.4152379264812682,0.8440691222145279,0.8440691222145279,0.8464602043694321,1.7338963166782038,1.7303096934458484,1.7338963166782038
14,7,11,projection,0.5491245495925483,1.131244917185299,1.131244917185299,0.5118090063064552,0.5491245495925483,0.5491245495925483,0.2999250270769858,tolerance_met,368,406.757688122248,427.89162227131703,417.3246551967825,420.614290373748,0.8,0.854706913927,0.8273534569635,0.830207614224,0.3053041791484907,0.2885845525470246,0.3291761842209674,0.9501931298489944,0.9316149870182456,0.9807023452059592,1.5747103052265152,1.5289464821910628,1.602577519472638
15,7,12,projection,0.657644692149745,0.6646005637413026,0.6646005637413026,0.1777704776050856,0.657644692149745,0.657644692149745,0.17324683530756366,tolerance_met,364,406.757688122248,427.89162227131703,417.3246551967825,419.090909090909,0.854706913927,0.91466443388825,0.884685673907625,0.866666666667,0.3305609732450801,0.3235042019304265,0.3443465659900287,0.9277886131561822,0.9009320878538918,0.9421507294276004,1.6083170802657374,1.5867739058586003,1.6486018682191554
16,8,6,projection,0.6111952471596283,0.795400161412914,0.795400161412914,0.3598112505591426,0.6111952471596283,0.6111952471596283,0.3009365520867959,tolerance_met,380,419.090909090909,426.955673500098,423.0232912955035,424.16506658955,1.0,1.109422491324,1.054711245662,1.040665641693,0.4504126622619805,0.4224571352792673,0.4504126622619805,0.8194940411379451,0.8194940411379451,0.8486085636143541,1.7707589382930742,1.7270871545784785,1.7707589382930742
17,8,6,projection,0.6358560490996581,0.6953515884678154,0.6953515884678154,0.33432112422126653,0.6358560490996581,0.6358560490996581,0.32265800992057336,tolerance_met,377,420.84415584415547,426.955673500098,423.8999146721267,423.338368651713,1.109422491324,1.2,1.154711245662,1.157891398755,0.541112120407332,0.5067305749828549,0.541112120407332,0.7664414433046219,0.7664414433046219,0.7884169377837369,1.850337835043046,1.817374593324408,1.850337835043046
18,7,3,projection,0.529317297243324,0.3759908987773315,0.3759908987773315,0.217021215723643,0.529317297243324,0.529317297243324,0.24483060869171913,tolerance_met,417,426.955673500098,442.8963065496065,434.92599002485224,435.454545454545,1.0,1.0123173408150001,1.0061586704075,1.0,0.4119755738259656,0.4073984310141504,0.4159363708291697,0.8239511476518562,0.8147968620282666,0.8318727416583617,1.7640732785221784,1.7521908875124688,1.777804706957583
19,7,3,projection,0.29836429249093044,0.43009145057709475,0.43009145057709475,0.16009203829101656,0.29836429249093044,0.29836429249093044,0.11835276612346964,tolerance_met,419,426.955673500098,442.8963065496065,434.92599002485224,435.455216244204,1.0123173408150001,1.029764307521,1.021040824168,1.026309562887,0.431318580069583,0.4289733258444774,0.4350492697974636,0.8100180343651484,0.8072166727490192,0.8208291763348823,1.7849729484522687,1.7687562354976538,1.7891749908765036
