region_id,constraint_order,constraint_name,A_T,A_Cao,B_Ca,B_Cb,B_Cc,b
11,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
12,0,reaction_linearized_adaptive,-1.1023876685368101,1.0,-402.4084779154532,-348.9365559204712,92.03471617540832,-767.9238140195642
12,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
13,0,reaction_linearized_adaptive,-1.6779906152614288,1.0,-594.8259349603568,-584.2626946873877,141.8776210079996,-1205.1941275376278
13,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
14,0,reaction_linearized_adaptive,-1.2747404745043305,1.0,-601.3853471246688,-385.8166299430282,116.06912810245723,-902.7743712476909
14,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
15,0,reaction_linearized_adaptive,-1.2094215866129439,1.0,-522.2855270995798,-371.45670626506006,106.80763612533195,-851.4908945610116
15,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
16,0,reaction_linearized_adaptive,-1.6995654538854765,1.0,-554.9423689672608,-608.9187831062058,140.5682042789805,-1219.9016082131363
16,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
17,0,reaction_linearized_adaptive,-1.7072440587615105,1.0,-461.9849687437508,-650.9161426274728,134.4769424923387,-1221.6310225521045
17,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
18,0,reaction_linearized_adaptive,-2.8658174548799202,1.0,-1086.2432156969412,-1085.2432156970401,253.11061481263746,-2142.1206302254036
18,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
19,0,reaction_linearized_adaptive,-2.8998585387258053,1.0,-1049.8905216239177,-1117.0269086412272,253.11923065511922,-2167.570467928992
19,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
20,0,reaction_linearized_adaptive,-2.3472153214285143,1.0,-773.2714651254054,-894.5132898647963,197.80717811789543,-1725.0539526832608
20,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
21,0,reaction_linearized_adaptive,-2.3670486163416236,1.0,-701.5009553998821,-935.7075809223633,194.22453873380044,-1737.44422882639
21,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
22,0,reaction_linearized_adaptive,-3.080318842799887,1.0,-905.2239376351401,-1286.777311368503,255.76325434819137,-2304.0990681057337
22,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
23,0,reaction_linearized_adaptive,-2.356004739644984,1.0,-1238.211350268406,-777.8196373845825,227.21130555653156,-1748.0704815616496
23,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
24,0,reaction_linearized_adaptive,-3.1627979459706665,1.0,-1567.909296304158,-1122.5124856154935,302.79487236431186,-2393.2878628659278
24,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
25,0,reaction_linearized_adaptive,-2.720378138935441,1.0,-1222.7676301040196,-966.8747351180336,251.52829405250537,-2032.5355422039208
25,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
26,0,reaction_linearized_adaptive,-3.2376438197706072,1.0,-1329.4912456659074,-1223.4704944164293,293.88074447282077,-2444.918799057416
26,1,mass_balance_exact,0.0,-1.0,1.0,1.0,1.0,2.0
27,0,reaction_linearized_adaptive,-4.0893382953485755,1.0,-1298.492758340853,-1759.1533428813639,351.09533189580515,-3125.9099344784495
