region_id,constraint_order,constraint_name,A_Cao,B_Ca,B_Cb,B_Cc,b
71,0,reaction_linearized,1.0,-4.159471415098238,-5.171878004430809,1.1487419956649154,-4.781678053256007
71,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
72,0,reaction_linearized,1.0,-4.132946321558496,-5.2125080312559575,1.1487419956649154,-4.798970263017239
72,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
73,0,reaction_linearized,1.0,-4.106832994518129,-5.253014538606257,1.1487419956649154,-4.816065688847348
73,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
74,0,reaction_linearized,1.0,-4.081122699076862,-5.293397916349659,1.1487419956649154,-4.832967598902046
74,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
75,0,reaction_linearized,1.0,-4.055806922686402,-5.333658571447149,1.1487419956649154,-4.849679197011655
75,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
76,0,reaction_linearized,1.0,-4.0308773689370945,-5.373796926960742,1.1487419956649154,-4.866203623930498
76,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
77,0,reaction_linearized,1.0,-4.006325951518938,-5.413813421099442,1.1487419956649154,-4.882543958571435
77,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
78,0,reaction_linearized,1.0,-3.9821447883508587,-5.4537085063053565,1.1487419956649154,-4.898703219226265
78,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
79,0,reaction_linearized,1.0,-3.958326195874479,-5.4934826483785315,1.1487419956649154,-4.914684364771237
79,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
80,0,reaction_linearized,1.0,-3.9348626835086358,-5.533136325639119,1.1487419956649154,-4.930490295857022
80,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
81,0,reaction_linearized,1.0,-3.9117469482588225,-5.572670028129043,1.1487419956649154,-4.94612385608395
81,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
82,0,reaction_linearized,1.0,-3.888971869490208,-5.612084256830535,1.1487419956649154,-4.961587833153631
82,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
83,0,reaction_linearized,1.0,-3.8665305038293662,-5.651379522953573,1.1487419956649154,-4.976884960017566
83,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
84,0,reaction_linearized,1.0,-3.8444160802326035,-5.690556347219825,1.1487419956649154,-4.992017915994271
84,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
85,0,reaction_linearized,1.0,-3.822621995185895,-5.729615259195249,1.1487419956649154,-5.006989327875744
85,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
86,0,reaction_linearized,1.0,-3.8011418080453376,-5.768556796648835,1.1487419956649154,-5.021801771014567
86,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
87,0,reaction_linearized,1.0,-3.7799692365124002,-5.807381504939893,1.1487419956649154,-5.036457770392877
87,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
88,0,reaction_linearized,1.0,-3.759098152240389,-5.84608993643276,1.1487419956649154,-5.050959801673033
88,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
89,0,reaction_linearized,1.0,-3.7385225765686356,-5.884682649937892,1.1487419956649154,-5.065310292229926
89,1,mass_balance,-1.0,1.0,1.0,1.0,2.0
