mu_rxn,mu_mb,run,epochs,dtype,rmse_total,violation_original_nonlinear,violation_rxn,violation_mb
0.0001,0.01,0,1000,64,0.2428592562940528,1.072043247287563,1.8303806317538673,0.31370586282125873
0.0001,0.01,1,1000,64,0.5121909003488808,4.84305165410931,7.957626511672987,1.7284767965456311
0.0001,0.01,2,1000,64,0.3057448716231027,4.4116495378671186,8.183888540043501,0.6394105356907361
0.0001,0.05,0,1000,64,0.24996797033091775,0.8546364177850597,1.4994343678764304,0.20983846769368913
0.0001,0.05,1,1000,64,0.542586391598149,5.627467654451798,10.087110422419665,1.1678248864839296
0.0001,0.05,2,1000,64,0.3083151146487281,4.887915595785289,9.355390297333669,0.4204408942369106
0.0001,0.1,0,1000,64,0.23822804514092008,1.0918078595592822,2.0567239419276295,0.1268917771909347
0.0001,0.1,1,1000,64,0.5751753924044468,6.0477650741968585,11.270034605781987,0.8254955426117307
0.0001,0.1,2,1000,64,0.31684310130748256,5.2474550848648835,10.195303726995084,0.2996064427346819
0.0003,0.0,0,1000,64,0.2897715428626723,2.0076533957971607,3.327729700124172,0.6875770914701498
0.0003,0.0,1,1000,64,0.2788091742419505,1.5525175584074258,2.4973460741090263,0.6076890427058255
0.0003,0.0,2,1000,64,0.33060895920868866,3.596627795935352,6.164157765971167,1.0290978258995374
0.0003,0.001,0,1000,64,0.2894770720078987,2.0170725031461325,3.355731885867859,0.6784131204244057
0.0003,0.001,1,1000,64,0.2785952157167499,1.5524166271297677,2.5074842538232494,0.597349000436286
0.0003,0.001,2,1000,64,0.32950757346348475,3.6084852366334443,6.202468843451563,1.0145016298153244
0.0003,0.01,0,1000,64,0.2879359401965458,2.166671812464268,3.725882333987333,0.6074612909412024
0.0003,0.01,1,1000,64,0.5328179883834333,3.2273719924499185,4.486687356338933,1.9680566285609036
0.0003,0.01,2,1000,64,0.322521998395518,3.7357277928849157,6.568031068363427,0.903424517406404
0.0003,0.05,0,1000,64,0.2791642039425848,1.177828243750468,2.062341804751022,0.293314682749914
0.0003,0.05,1,1000,64,0.5539151886118722,3.7824934768620997,6.233782834746785,1.3312041189774133
0.0003,0.05,2,1000,64,0.31895411717173894,4.259894015421742,7.886955073233971,0.6328329576095122
0.0003,0.1,0,1000,64,0.28208172154479644,0.9767289933112823,1.7639215415884522,0.18953644503411232
0.0003,0.1,1,1000,64,0.5860229835138431,4.086677197064197,7.217183354587805,0.9561710395405877
0.0003,0.1,2,1000,64,0.3196367821676539,4.783723158103724,9.09525650933879,0.4721898068686574
0.001,0.0,0,1000,64,0.29231962112527843,1.0641733098955715,1.2911647577645682,0.8371818620265747
0.001,0.0,1,1000,64,0.3210829761099038,1.5556714534850562,2.110240065715726,1.0011028412543868
0.001,0.0,2,1000,64,0.3918405814302977,2.5906015620834606,3.6819639536919624,1.499239170474959
0.001,0.001,0,1000,64,0.28973270043996363,1.0150149301400366,1.227229998684403,0.8027998615956703
0.001,0.001,1,1000,64,0.32011344563532024,1.5642799500075995,2.1414480498121553,0.9871118502030436
0.001,0.001,2,1000,64,0.3899750025575493,2.597681834283814,3.712418409857729,1.4829452587098992
0.001,0.01,0,1000,64,0.2868231721577874,1.0810379501538807,1.4203753745286798,0.7417005257790816
0.001,0.01,1,1000,64,0.317424034729217,1.5791284909688426,2.266270326772878,0.891986655164807
0.001,0.01,2,1000,64,0.37581583046297046,2.6457113644040193,3.9387296297347056,1.352693099073333
0.001,0.05,0,1000,64,0.29794300945308533,2.265915901242287,3.755936040643682,0.7758957618408919
0.001,0.05,1,1000,64,0.3226592447525748,1.576058116832673,2.5548276493885735,0.5972885842767727
0.001,0.05,2,1000,64,0.35988181491399157,3.1751654198948835,5.306149581841377,1.0441812579483896
0.001,0.1,0,1000,64,0.2929474654918748,2.5864177772306314,4.573403519249424,0.5994320352118384
0.001,0.1,1,1000,64,0.6112701169330396,2.696499933310097,4.118015586934736,1.2749842796854585
0.001,0.1,2,1000,64,0.3349881567516232,3.7536946727916956,6.640264131563352,0.8671252140200383
