model,run,final_train_violation_rxn,inference_violation_rxn
PINN,27,10.927268701474604,20.296300390037025
PINN,28,11.01362199431871,12.564781056200315
PINN,29,8.578944892268204,12.586938793628702
PINN,30,25.99374414734034,43.08188809029825
PINN,31,1.6690473777675061,2.840745180759048
PINN,32,16.699994274941886,25.84806413150618
PINN,33,26.61031552359649,44.90850382501526
PINN,34,15.447596462789612,25.501182323897996
PINN,35,21.731907916454386,34.46517705448343
PINN,36,1.5710545999206291,3.834021398720491
PINN,37,13.83092848997376,25.229374524598168
PINN,38,25.767201834289,42.03992268862743
PINN,39,4.631595665211326,5.683351125751166
PINN,40,6.414827927245789,11.530195766622349
PINN,41,14.302986847563941,21.7940609293055
PINN,42,21.522038491900158,34.137564225499936
PINN,43,16.581198145064683,37.27085892542717
PINN,44,13.98581680509327,21.893952531925983
PINN,45,16.52583720951016,15.060691530895022
PINN,46,9.140632925290445,13.55024286504782
PINN,47,10.374808333545868,14.455165480592276
PINN,48,11.781688921507834,21.218062727095933
PINN,49,25.113853239717674,27.898250317665205
KKThPINN,0,2.162619881835097,2.777695525608485
KKThPINN,1,0.35885700797059455,0.9725407558551504
KKThPINN,2,1.8495431220684722,3.975640053626176
KKThPINN,3,0.8892778075663882,1.0750330046292291
KKThPINN,4,0.8490969166983893,1.0648968059564268
KKThPINN,5,1.2522584016325538,2.912800155596357
KKThPINN,6,1.018107641927604,1.8838411203673089
KKThPINN,7,0.9880141245143641,1.777231108980163
KKThPINN,8,0.35908299536170074,0.8565766498363208
KKThPINN,9,0.8516597401144024,2.1483352304830934
KKThPINN,10,0.8981417940727523,3.29453286753614
KKThPINN,11,0.7354325394691565,0.9839906309396954
KKThPINN,12,0.5842144945154859,1.6273654286582195
KKThPINN,13,0.8244709990633587,2.963384016699074
KKThPINN,14,0.1915538891584477,0.7069724565163554
KKThPINN,15,0.30493463169567264,1.1920301914293123
KKThPINN,16,0.45128920336079237,1.8616230059253829
KKThPINN,17,0.5654663684487713,2.1223629462641767
KKThPINN,18,0.23210831917272076,0.3243882494494396
KKThPINN,19,0.3711966299261154,0.603070675159259
KKThPINN,20,0.9760536232963435,2.116150762063284
KKThPINN,21,0.529563803878565,0.6547122579642238
KKThPINN,22,0.23820678023196568,0.8050816653917036
KKThPINN,23,0.4713146326437609,0.9504722809014025
KKThPINN,24,0.31767648070246,0.4496465602712915
KKThPINN,25,1.3087990088639088,3.313641041358184
KKThPINN,26,0.23399476737823363,0.6801573553278472
KKThPINN,27,0.9447101126236512,3.781421066505114
KKThPINN,28,0.4894703965586956,1.1082670001898058
KKThPINN,29,1.118541690495284,3.508744523735428
KKThPINN,30,1.129252590486187,4.091074493735878
KKThPINN,31,0.28491941970273105,0.4467933531867473
KKThPINN,32,0.6005481183753796,1.3057195968407191
KKThPINN,33,0.9963145660185603,3.345137718281652
KKThPINN,34,0.9138043408223753,3.07958351276195
KKThPINN,35,0.9102314109394761,3.0647930253703644
KKThPINN,36,0.3386345605662124,0.9282872375022672
KKThPINN,37,0.582388920034788,2.724293154372936
KKThPINN,38,0.6860483357915425,2.9781417133215835
KKThPINN,39,0.8795656861941417,2.237748190508144
KKThPINN,40,0.44627618500311855,0.5837621106811767
KKThPINN,41,1.505376022332655,2.9134717197637747
KKThPINN,42,0.7110310638152616,2.005078969817191
KKThPINN,43,0.8946852986867962,1.859884913008039
KKThPINN,44,0.4687291644137892,1.2861464669155371
KKThPINN,45,0.37851938942496377,0.5886829040535851
KKThPINN,46,0.6683507355161646,2.661538729509647
KKThPINN,47,1.9121987378856844,3.63064526279272
KKThPINN,48,0.6904852005278581,1.660980726394692
KKThPINN,49,1.0088720101344755,1.8499651964947224
