model,run,mu_rxn,mu_mb,training_time_sec,rmse_total,violation_pl,violation_original_nonlinear,violation_rxn,violation_mb,prediction_time_sec
NN,14,0.0,0.0,7.665584073867649,0.07962918886228085,57.15360658039423,60.05850415029039,120.08920050576629,0.027807794814481927,0.0003665480762720108
NN,15,0.0,0.0,7.680788754951209,0.04298024937924066,28.384320796250062,31.496011817756433,62.98048379115121,0.011539844361659071,0.00038354983553290367
NN,16,0.0,0.0,7.536597323138267,0.07206678041082486,62.73403870793884,65.27451998646325,130.52722805703152,0.02181191589497191,0.0003639953210949898
NN,17,0.0,0.0,7.6135813179425895,0.050773914745137004,16.696397281981913,20.564245315865268,41.10990864672443,0.018581985006109848,0.00036100437864661217
NN,18,0.0,0.0,7.545088952407241,0.025650322202847728,18.44226208722758,20.28523044976752,40.56090214594055,0.009558753594496502,0.0003572828136384487
NN,19,0.0,0.0,7.535832358058542,0.09850871293943667,66.88857591897009,67.87137322831545,135.72793489007992,0.014811566550986888,0.00035123107954859734
NN,20,0.0,0.0,7.5140659683384,0.09184831627845741,77.09800922694134,76.95892150821473,153.8770230260928,0.040819990336656106,0.00035809585824608803
NN,21,0.0,0.0,7.602937092073262,0.030316962928849975,6.159350826984031,7.663759870559922,15.317681481004827,0.00983826011501457,0.00036432500928640366
NN,22,0.0,0.0,7.648767690174282,0.035825685387985175,28.369311437307243,31.944540195659368,63.85973253231766,0.029347859001075702,0.0003697318024933338
NN,23,0.0,0.0,7.511080894153565,0.03216304321595833,18.959419483892304,21.1759198947758,42.32406750716784,0.027772282383760498,0.00037660496309399605
NN,24,0.0,0.0,7.756897836923599,0.05298948553173411,25.09411704577281,27.78585339150171,55.543306597050154,0.028400185953268434,0.00036948174238204956
NN,25,0.0,0.0,7.612781763076782,0.09387850646769139,79.93275653855483,78.57597141109648,157.14504699978485,0.006895822408082304,0.0003648987039923668
NN,26,0.0,0.0,7.599659949075431,0.05205119909259784,38.20911668073963,39.91382497168845,79.81118011282695,0.016469830549942964,0.0003787069581449032
