scenario,archive_set,model,run_index,archive_folder,n_test,reaction_mean,mass_balance_mean,reaction_max,mass_balance_max,combined_mean
nseg_90,1,KKThPINN,19,20260604-052149_run19_KKThPINN,30,0.00012560555704457983,1.8503717077085943e-16,0.0004715892364548502,4.440892098500626e-16,6.280277852238244e-05
nseg_90,1,KKThPINN,20,20260604-052300_run20_KKThPINN,30,3.158262816636004e-05,2.516505522483688e-16,0.00014611489475324646,8.881784197001252e-16,1.5791314083305844e-05
nseg_90,1,KKThPINN,21,20260604-052410_run21_KKThPINN,30,2.2836209660104246e-05,1.8503717077085943e-16,0.00015780967590539596,4.440892098500626e-16,1.1418104830144641e-05
nseg_90,1,KKThPINN,22,20260604-052521_run22_KKThPINN,30,2.308411128209009e-05,2.812564995717063e-16,0.0001251490646199116,8.881784197001252e-16,1.1542055641185673e-05
nseg_90,1,KKThPINN,23,20260604-052631_run23_KKThPINN,30,1.946923992279063e-05,2.294460917558657e-16,0.0001980378680086492,6.661338147750939e-16,9.734619961510038e-06
nseg_90,1,KKThPINN,24,20260604-052742_run24_KKThPINN,30,3.0443300336776187e-05,2.6645352591003756e-16,0.00023742299223084018,4.440892098500626e-16,1.522165016852132e-05
nseg_90,1,KKThPINN,25,20260604-052853_run25_KKThPINN,30,0.00010088424114840973,2.220446049250313e-16,0.0007146067895906771,4.440892098500626e-16,5.044212057431589e-05
nseg_90,1,KKThPINN,26,20260604-053004_run26_KKThPINN,30,1.0096381348005204e-05,2.9605947323337506e-16,7.294959158854475e-05,6.661338147750939e-16,5.048190674150632e-06
nseg_90,1,KKThPINN,27,20260604-053116_run27_KKThPINN,30,1.3569812118278494e-05,2.3684757858670006e-16,7.547588261425098e-05,6.661338147750939e-16,6.784906059257671e-06
nseg_90,1,KKThPINN,28,20260604-053227_run28_KKThPINN,30,2.0116227086427094e-05,1.1842378929335003e-16,0.00015318126608065974,8.881784197001252e-16,1.0058113543272758e-05
nseg_90,1,KKThPINN,29,20260604-053337_run29_KKThPINN,30,5.0232194383329856e-05,1.4802973661668753e-16,0.0002690709849400008,4.440892098500626e-16,2.5116097191738942e-05
nseg_90,1,KKThPINN,30,20260604-053447_run30_KKThPINN,30,0.00021981150697576447,1.924386576016938e-16,0.0011487719504987837,6.661338147750939e-16,0.00010990575348797844
nseg_90,1,KKThPINN,31,20260604-053558_run31_KKThPINN,30,0.0001715226978871091,2.4424906541753446e-16,0.001178959643806765,8.881784197001252e-16,8.576134894367667e-05
nseg_90,1,KKThPINN,32,20260604-053709_run32_KKThPINN,30,0.00011112603220275741,2.7385501274087196e-16,0.0004253303684198517,8.881784197001252e-16,5.556301610151563e-05
nseg_90,1,KKThPINN,33,20260604-053820_run33_KKThPINN,30,3.4283773219782415e-05,2.886579864025407e-16,0.00024954979779323594,8.881784197001252e-16,1.7141886610035535e-05
nseg_90,1,KKThPINN,34,20260604-053931_run34_KKThPINN,30,0.000258552702656741,3.9227880203422196e-16,0.0014768236086919462,8.881784197001252e-16,0.00012927635132856664
nseg_90,1,KKThPINN,35,20260604-054042_run35_KKThPINN,30,0.0001839663137996439,3.108624468950438e-16,0.0010851134379976646,8.881784197001252e-16,9.198315689997738e-05
nseg_90,1,KKThPINN,36,20260604-054152_run36_KKThPINN,30,5.753499640854069e-05,2.590520390792032e-16,0.0006383156367439913,8.881784197001252e-16,2.8767498204399868e-05
nseg_90,1,KKThPINN,37,20260604-054303_run37_KKThPINN,30,5.8468819410199364e-05,3.182639337258782e-16,0.0006666976731739549,8.881784197001252e-16,2.9234409705258813e-05
nseg_90,1,KKThPINN,38,20260604-054413_run38_KKThPINN,30,2.3692943335233234e-05,3.2566542055671256e-16,0.0002528680744757761,8.881784197001252e-16,1.1846471667779449e-05
nseg_90,1,KKThPINN,39,20260604-054523_run39_KKThPINN,30,0.0002328857742472416,2.220446049250313e-16,0.0012617507280832108,4.440892098500626e-16,0.00011644288712373182
nseg_90,1,KKThPINN,40,20260604-054633_run40_KKThPINN,30,6.731210146528887e-05,1.9984014443252818e-16,0.000186333668113825,4.440892098500626e-16,3.365605073274436e-05
nseg_90,1,KKThPINN,41,20260604-054743_run41_KKThPINN,30,1.3514693754953141e-05,2.3684757858670006e-16,7.473340965957753e-05,8.881784197001252e-16,6.757346877594994e-06
nseg_90,1,KKThPINN,42,20260604-054854_run42_KKThPINN,30,6.366830634754924e-05,2.6645352591003756e-16,0.0005730080719095199,6.661338147750939e-16,3.1834153173907843e-05
nseg_90,1,KKThPINN,43,20260604-055004_run43_KKThPINN,30,9.778461261104414e-06,1.1842378929335003e-16,5.278133355335335e-05,8.881784197001252e-16,4.889230630611419e-06
nseg_90,1,KKThPINN,44,20260604-055115_run44_KKThPINN,30,4.604841675239779e-05,2.590520390792032e-16,0.0005291619694198779,8.881784197001252e-16,2.302420837632842e-05
nseg_90,1,KKThPINN,45,20260604-055225_run45_KKThPINN,30,5.174343718203911e-05,2.0724163126336256e-16,0.00026480819633190045,6.661338147750939e-16,2.5871718591123177e-05
nseg_90,1,KKThPINN,46,20260604-055335_run46_KKThPINN,30,6.222287308712548e-05,2.4424906541753446e-16,0.00016481771671794654,6.661338147750939e-16,3.111143654368487e-05
nseg_90,1,KKThPINN,47,20260604-055446_run47_KKThPINN,30,0.00010061219617488368,2.4424906541753446e-16,0.000518909618239416,8.881784197001252e-16,5.030609808756396e-05
nseg_90,1,KKThPINN,48,20260604-055557_run48_KKThPINN,30,1.8779398589859517e-05,3.108624468950438e-16,0.00011936920900468273,6.661338147750939e-16,9.38969929508519e-06
nseg_90,1,KKThPINN,49,20260604-055707_run49_KKThPINN,30,2.498062549115924e-05,3.0346096006420946e-16,0.0001139654177813032,8.881784197001252e-16,1.249031274573135e-05
nseg_90,1,KKThPINN,50,20260604-055817_run50_KKThPINN,30,4.930240264191532e-05,1.6283271027835628e-16,0.00015788793386262157,4.440892098500626e-16,2.4651201321039078e-05
