scenario,archive_set,model,run_index,archive_folder,n_test,reaction_mean,mass_balance_mean,reaction_max,mass_balance_max,combined_mean
nseg_90,2,KKThPINN,17,20260604-123649_run17_KKThPINN,30,3.455826016611022e-05,2.4424906541753446e-16,0.0005355932633788196,8.881784197001252e-16,1.7279130083177237e-05
nseg_90,2,KKThPINN,18,20260604-123759_run18_KKThPINN,30,1.8259343027837715e-05,1.9984014443252818e-16,0.0001688951603415756,8.881784197001252e-16,9.129671514018779e-06
nseg_90,2,KKThPINN,19,20260604-123909_run19_KKThPINN,30,0.00011211164995685122,2.220446049250313e-16,0.0008012729873090318,8.881784197001252e-16,5.6055824978536634e-05
nseg_90,2,KKThPINN,20,20260604-124019_run20_KKThPINN,30,2.5347348522020142e-05,2.220446049250313e-16,0.00030583119695415384,8.881784197001252e-16,1.2673674261121094e-05
nseg_90,2,KKThPINN,21,20260604-124128_run21_KKThPINN,30,0.00019104159252890293,2.0724163126336256e-16,0.00165488024866689,8.881784197001252e-16,9.552079626455509e-05
nseg_90,2,KKThPINN,22,20260604-124237_run22_KKThPINN,30,8.955148472847471e-05,2.812564995717063e-16,0.0013847540795675073,8.881784197001252e-16,4.477574236437798e-05
nseg_90,2,KKThPINN,23,20260604-124347_run23_KKThPINN,30,5.163033393470092e-05,2.1464311809419693e-16,0.0008292326204220046,8.881784197001252e-16,2.581516696745778e-05
nseg_90,2,KKThPINN,24,20260604-124456_run24_KKThPINN,30,0.0001716438696905298,1.554312234475219e-16,0.001049216922862195,8.881784197001252e-16,8.582193484534262e-05
nseg_90,2,KKThPINN,25,20260604-124606_run25_KKThPINN,30,1.541356958040622e-05,2.6645352591003756e-16,7.932138313337944e-05,8.881784197001252e-16,7.706784790336336e-06
nseg_90,2,KKThPINN,26,20260604-124716_run26_KKThPINN,30,6.025628466327001e-05,2.812564995717063e-16,0.000636936928943177,8.881784197001252e-16,3.012814233177563e-05
nseg_90,2,KKThPINN,27,20260604-124826_run27_KKThPINN,30,0.00020298493151023057,1.7023419710919068e-16,0.0016061776813676154,4.440892098500626e-16,0.0001014924657552004
nseg_90,2,KKThPINN,28,20260604-124935_run28_KKThPINN,30,0.00012033493520547574,1.1102230246251565e-16,0.0014593835294540725,4.440892098500626e-16,6.016746760279338e-05
nseg_90,2,KKThPINN,29,20260604-125045_run29_KKThPINN,30,4.662698905799623e-06,2.1464311809419693e-16,2.04506536107818e-05,4.440892098500626e-16,2.331349453007133e-06
nseg_90,2,KKThPINN,30,20260604-125155_run30_KKThPINN,30,5.315237328441154e-05,1.924386576016938e-16,0.00019590620536469316,8.881784197001252e-16,2.657618664230199e-05
nseg_90,2,KKThPINN,31,20260604-125304_run31_KKThPINN,30,3.218782393613247e-05,1.924386576016938e-16,0.0005356843297146252,4.440892098500626e-16,1.6093911968162455e-05
nseg_90,2,KKThPINN,32,20260604-125414_run32_KKThPINN,30,5.9700207552326746e-05,2.0724163126336256e-16,0.0008632993491259899,8.881784197001252e-16,2.9850103776266992e-05
nseg_90,2,KKThPINN,33,20260604-125524_run33_KKThPINN,30,6.962596018089684e-06,2.4424906541753446e-16,3.618932614513071e-05,4.440892098500626e-16,3.4812980091669666e-06
nseg_90,2,KKThPINN,34,20260604-125634_run34_KKThPINN,30,7.180304121519043e-05,1.9984014443252818e-16,0.0004055452033802087,8.881784197001252e-16,3.590152060769514e-05
nseg_90,2,KKThPINN,35,20260604-125743_run35_KKThPINN,30,1.2291703466675112e-05,2.294460917558657e-16,0.0001222390547117591,8.881784197001252e-16,6.145851733452279e-06
nseg_90,2,KKThPINN,36,20260604-125853_run36_KKThPINN,30,2.8006488398276316e-05,1.7763568394002506e-16,0.0003266494783402685,8.881784197001252e-16,1.4003244199226976e-05
nseg_90,2,KKThPINN,37,20260604-130003_run37_KKThPINN,30,0.00010808503841680898,2.7385501274087196e-16,0.0009031043667719896,8.881784197001252e-16,5.404251920854142e-05
nseg_90,2,KKThPINN,38,20260604-130113_run38_KKThPINN,30,3.0231065923539782e-05,1.7763568394002506e-16,0.00028972159963935873,8.881784197001252e-16,1.511553296185871e-05
nseg_90,2,KKThPINN,39,20260604-130222_run39_KKThPINN,30,0.00010841418059539531,2.0724163126336256e-16,0.0007908873100188618,8.881784197001252e-16,5.420709029780128e-05
nseg_90,2,KKThPINN,40,20260604-130332_run40_KKThPINN,30,5.903977791355726e-05,2.0724163126336256e-16,0.0005046445005860711,8.881784197001252e-16,2.9519888956882254e-05
nseg_90,2,KKThPINN,41,20260604-130441_run41_KKThPINN,30,0.00012097785736301011,1.9984014443252818e-16,0.0014358229274138434,4.440892098500626e-16,6.048892868160497e-05
nseg_90,2,KKThPINN,42,20260604-130551_run42_KKThPINN,30,2.177349780096982e-05,1.8503717077085943e-16,0.00030232583845823946,8.881784197001252e-16,1.0886748900577429e-05
nseg_90,2,KKThPINN,43,20260604-130701_run43_KKThPINN,30,3.3873681032063154e-05,2.3684757858670006e-16,8.929843291194395e-05,8.881784197001252e-16,1.6936840516150002e-05
nseg_90,2,KKThPINN,44,20260604-130811_run44_KKThPINN,30,1.4471265092330654e-05,1.7763568394002506e-16,0.00010776466486728253,8.881784197001252e-16,7.2356325462541445e-06
nseg_90,2,KKThPINN,45,20260604-130921_run45_KKThPINN,30,4.4482199941538646e-05,2.294460917558657e-16,0.0007138417630996319,8.881784197001252e-16,2.2241099970884045e-05
nseg_90,2,KKThPINN,46,20260604-131031_run46_KKThPINN,30,5.163986648510181e-05,2.0724163126336256e-16,0.0008772012204303348,8.881784197001252e-16,2.5819933242654526e-05
nseg_90,2,KKThPINN,47,20260604-131141_run47_KKThPINN,30,7.825626206336977e-05,2.1464311809419693e-16,0.0002310250036976491,6.661338147750939e-16,3.912813103179221e-05
nseg_90,2,KKThPINN,48,20260604-131252_run48_KKThPINN,30,8.070435065166137e-06,2.3684757858670006e-16,5.224060828323829e-05,8.881784197001252e-16,4.035217532701493e-06
nseg_90,2,KKThPINN,49,20260604-131402_run49_KKThPINN,30,5.2583497252745023e-05,1.4802973661668753e-16,0.000736670725917099,4.440892098500626e-16,2.629174862644653e-05
nseg_90,2,KKThPINN,50,20260604-131512_run50_KKThPINN,30,6.790504985130231e-05,1.7763568394002506e-16,0.00034040751242647715,8.881784197001252e-16,3.395252492573997e-05
