region_id,iT,iC,Temperature (T),Cao,Ca,Cb,Cc,is_center
5,1,2,300.0,1.0666667222976685,0.9958086623308584,1.85828388006638,0.21257417990043015,0
5,1,2,300.0,1.2000000476837158,1.1215044851006042,1.8430088748337767,0.23548668774933518,0
5,1,2,340.0,1.0666667222976685,0.6202750507640935,1.10721665693285,1.3391750146007249,0
5,1,2,340.0,1.2000000476837158,0.7266773380700389,1.053354580772646,1.419968128841031,0
6,2,0,350.0,0.8666666666666667,0.4253089007873191,1.117284468241305,1.3240732976380427,1
6,2,0,340.0,0.800000011920929,0.42028634046151686,1.240572657081176,1.1391410143782363,0
6,2,0,340.0,0.9333332777023315,0.5178586493668292,1.1690507433289954,1.246423885006507,0
6,2,0,360.0,0.800000011920929,0.3525317725712343,1.1050635213006106,1.3424047180490841,0
6,2,0,360.0,0.9333332777023315,0.4459919919458915,1.0253174284871203,1.4620238572693198,0
7,2,1,350.0,1.0,0.5233512181912394,1.0467024363824786,1.4299463454262822,1
7,2,1,340.0,1.0666667222976685,0.6202750507640935,1.10721665693285,1.3391750146007249,0
7,2,1,360.0,1.0666667222976685,0.545779942128692,0.958226439662048,1.5626603405069284,0
8,2,2,350.0,1.1333333333333333,0.626541644319461,0.9864166219722553,1.520375067041617,1
8,2,2,350.0,1.1333333253860474,0.6265416380358424,0.9864166252995903,1.5203750620506147,0
8,2,2,340.0,1.0666667222976685,0.6202750507640935,1.10721665693285,1.3391750146007246,0
8,2,2,340.0,1.2000000476837158,0.7266773380700389,1.053354580772646,1.419968128841031,0
8,2,2,360.0,1.0666667222976685,0.5457799421286923,0.9582264396620478,1.5626603405069284,0
8,2,2,360.0,1.2000000476837158,0.6506422071218327,0.9012843188762336,1.6480735216856495,0
9,3,0,380.0,0.8666666666666667,0.36682881014961327,1.0003242869658917,1.4995135695511619,1
9,3,0,379.9999694824219,0.8666666746139526,0.36682885221788586,1.0003243552078658,1.4995134671882009,0
9,3,0,360.0,0.800000011920929,0.352531772571234,1.105063521300611,1.342404718049084,0
9,3,0,360.0,0.9333332777023315,0.44599199194589145,1.0253174284871203,1.4620238572693196,0
9,3,0,400.0,0.800000011920929,0.3022043208831892,1.0044086179245224,1.4933870731132175,0
