segmentation_type,n_regions,repeat,model_id,projection_projection_mae_scaled,projection_projection_max_abs_scaled,projection_projection_rmse_scaled,projection_violation,projection_violation_original_nonlinear,experiment_rmse_total,experiment_violation,experiment_violation_original_nonlinear
uniform,2,9,uniform_S2_r9,0.019027614664894187,0.24734779004188517,0.045529730556132374,0.05898083407342054,8.284012603387236,0.06010273638298415,0.039823037239351704,5.593250036239624
uniform,3,0,uniform_S3_r0,0.009182182977613288,0.1959263253934127,0.027230776514097207,0.021268217939700972,2.9871770177036523,0.08917515754772018,0.031070230293473784,4.363895416259766
uniform,3,1,uniform_S3_r1,0.009182182977613288,0.1959263253934127,0.027230776514097207,0.021268217939700972,2.9871770177036523,0.08419569254488873,0.02140569803892703,3.006486475467682
uniform,3,2,uniform_S3_r2,0.009182182977613288,0.1959263253934127,0.027230776514097207,0.021268217939700972,2.9871770177036523,0.08491365099627497,0.02000550492246319,2.8098255395889282
uniform,3,3,uniform_S3_r3,0.009182182977613288,0.1959263253934127,0.027230776514097207,0.021268217939700972,2.9871770177036523,0.08727651308880885,0.017351656965227863,2.437085807323456
uniform,3,4,uniform_S3_r4,0.009182182977613288,0.1959263253934127,0.027230776514097207,0.021268217939700972,2.9871770177036523,0.0670564990405369,0.023045983191250344,3.2368686497211456
uniform,3,5,uniform_S3_r5,0.009182182977613288,0.1959263253934127,0.027230776514097207,0.021268217939700972,2.9871770177036523,0.05788003175389193,0.01968149926093505,2.764318346977234
uniform,3,6,uniform_S3_r6,0.009182182977613288,0.1959263253934127,0.027230776514097207,0.021268217939700972,2.9871770177036523,0.06721574766812308,0.022303050298428308,3.1325219869613647
uniform,3,7,uniform_S3_r7,0.009182182977613288,0.1959263253934127,0.027230776514097207,0.021268217939700972,2.9871770177036523,0.073161893929829,0.019759735764393174,2.775306761264801
uniform,3,8,uniform_S3_r8,0.009182182977613288,0.1959263253934127,0.027230776514097207,0.021268217939700972,2.9871770177036523,0.06398347444954983,0.019695589853954636,2.766297459602356
uniform,3,9,uniform_S3_r9,0.009182182977613288,0.1959263253934127,0.027230776514097207,0.021268217939700972,2.9871770177036523,0.06271041601847215,0.023641756006460804,3.3205466866493225
uniform,5,0,uniform_S5_r0,0.004175488048104473,0.062369768402208536,0.010581477770628492,0.006346378191181425,0.8913654740899801,0.06052501478554393,0.005346543391315565,0.7509360015392303
uniform,5,1,uniform_S5_r1,0.004175488048104473,0.062369768402208536,0.010581477770628492,0.006346378191181425,0.8913654740899801,0.07589025977574738,0.00971606693847048,1.3646471202373505
uniform,5,2,uniform_S5_r2,0.004175488048104473,0.062369768402208536,0.010581477770628492,0.006346378191181425,0.8913654740899801,0.06188008689087645,0.005548819586103526,0.7793462574481964
uniform,5,3,uniform_S5_r3,0.004175488048104473,0.062369768402208536,0.010581477770628492,0.006346378191181425,0.8913654740899801,0.05690489271845976,0.005044369502598945,0.7084949016571045
uniform,5,4,uniform_S5_r4,0.004175488048104473,0.062369768402208536,0.010581477770628492,0.006346378191181425,0.8913654740899801,0.05250193954411945,0.005491718924993406,0.771326333284378
uniform,5,5,uniform_S5_r5,0.004175488048104473,0.062369768402208536,0.010581477770628492,0.006346378191181425,0.8913654740899801,0.06343297051333038,0.0054709429641832215,0.7684082984924316
uniform,5,6,uniform_S5_r6,0.004175488048104473,0.062369768402208536,0.010581477770628492,0.006346378191181425,0.8913654740899801,0.06137843343469818,0.005394197246945661,0.7576291859149933
uniform,5,7,uniform_S5_r7,0.004175488048104473,0.062369768402208536,0.010581477770628492,0.006346378191181425,0.8913654740899801,0.05945391517658554,0.006641702712332016,0.9328446239233017
uniform,5,8,uniform_S5_r8,0.004175488048104473,0.062369768402208536,0.010581477770628492,0.006346378191181425,0.8913654740899801,0.0708633079048273,0.007434332193165742,1.044171541929245
uniform,5,9,uniform_S5_r9,0.004175488048104473,0.062369768402208536,0.010581477770628492,0.006346378191181425,0.8913654740899801,0.07337248303919554,0.007506657062622322,1.0543297231197357
uniform,7,0,uniform_S7_r0,0.0016280991888436643,0.03153772267983279,0.004357152503207796,0.002976578046525407,0.4180682195350528,0.0813855174554457,0.005739456073214998,0.8061216920614243
uniform,7,1,uniform_S7_r1,0.0016280991888436643,0.03153772267983279,0.004357152503207796,0.002976578046525407,0.4180682195350528,0.08038153206050651,0.003352246501744583,0.47083181887865067
uniform,7,2,uniform_S7_r2,0.0016280991888436643,0.03153772267983279,0.004357152503207796,0.002976578046525407,0.4180682195350528,0.0636657266964312,0.007035804242768458,0.9881971180438995
uniform,7,3,uniform_S7_r3,0.0016280991888436643,0.03153772267983279,0.004357152503207796,0.002976578046525407,0.4180682195350528,0.0604713739254239,0.0048414851822515,0.6799993216991425
uniform,7,4,uniform_S7_r4,0.0016280991888436643,0.03153772267983279,0.004357152503207796,0.002976578046525407,0.4180682195350528,0.07147373284789531,0.005146142702920017,0.7227892801165581
uniform,7,5,uniform_S7_r5,0.0016280991888436643,0.03153772267983279,0.004357152503207796,0.002976578046525407,0.4180682195350528,0.05933527183006909,0.0029529955814148186,0.41475602984428406
uniform,7,6,uniform_S7_r6,0.0016280991888436643,0.03153772267983279,0.004357152503207796,0.002976578046525407,0.4180682195350528,0.08020651966594926,0.006715284471889579,0.9431793168187141
uniform,7,7,uniform_S7_r7,0.0016280991888436643,0.03153772267983279,0.004357152503207796,0.002976578046525407,0.4180682195350528,0.05338900950546347,0.002740293601177772,0.3848814517259598
uniform,7,8,uniform_S7_r8,0.0016280991888436643,0.03153772267983279,0.004357152503207796,0.002976578046525407,0.4180682195350528,0.08112327118647936,0.010028441902936964,1.4085208475589752
uniform,7,9,uniform_S7_r9,0.0016280991888436643,0.03153772267983279,0.004357152503207796,0.002976578046525407,0.4180682195350528,0.07377925218291578,0.006984259657224032,0.980957567691803
uniform,9,0,uniform_S9_r0,0.0009893355720537256,0.01689795456516141,0.0025782852883850407,0.0016482812836374264,0.23150542255025358,0.07307255926687897,0.0017609774321829343,0.24733389914035797
uniform,9,1,uniform_S9_r1,0.0009893355720537256,0.01689795456516141,0.0025782852883850407,0.0016482812836374264,0.23150542255025358,0.06940471166805404,0.004384583811106775,0.6158263385295868
uniform,9,2,uniform_S9_r2,0.0009893355720537256,0.01689795456516141,0.0025782852883850407,0.0016482812836374264,0.23150542255025358,0.0797884623833201,0.006692387264472175,0.9399633333086967
uniform,9,3,uniform_S9_r3,0.0009893355720537256,0.01689795456516141,0.0025782852883850407,0.0016482812836374264,0.23150542255025358,0.05380080554506524,0.0021528727146957376,0.3023766577243805
uniform,9,4,uniform_S9_r4,0.0009893355720537256,0.01689795456516141,0.0025782852883850407,0.0016482812836374264,0.23150542255025358,0.059849257077898586,0.0031833071748844344,0.4471038430929184
uniform,9,5,uniform_S9_r5,0.0009893355720537256,0.01689795456516141,0.0025782852883850407,0.0016482812836374264,0.23150542255025358,0.09741063689030102,0.0018708875058323195,0.2627710923552513
uniform,9,6,uniform_S9_r6,0.0009893355720537256,0.01689795456516141,0.0025782852883850407,0.0016482812836374264,0.23150542255025358,0.05010232280281627,0.0034369866538259495,0.4827337749302387
uniform,9,7,uniform_S9_r7,0.0009893355720537256,0.01689795456516141,0.0025782852883850407,0.0016482812836374264,0.23150542255025358,0.06429119358327637,0.0015896242601146594,0.22326689213514328
uniform,9,8,uniform_S9_r8,0.0009893355720537256,0.01689795456516141,0.0025782852883850407,0.0016482812836374264,0.23150542255025358,0.07057528487545323,0.0024738486868147143,0.3474585562944412
uniform,9,9,uniform_S9_r9,0.0009893355720537256,0.01689795456516141,0.0025782852883850407,0.0016482812836374264,0.23150542255025358,0.0763065534709965,0.00976309134062906,1.3712518513202667
uniform,11,0,uniform_S11_r0,0.0006798786829223515,0.014343769099388504,0.001843446609241962,0.0011124307724449656,0.15624383240938186,0.06132986784851279,0.006042464542028144,0.8486800789833069
uniform,11,1,uniform_S11_r1,0.0006798786829223515,0.014343769099388504,0.001843446609241962,0.0011124307724449656,0.15624383240938186,0.08054372851384735,0.005194070816918645,0.7295208871364594
uniform,11,2,uniform_S11_r2,0.0006798786829223515,0.014343769099388504,0.001843446609241962,0.0011124307724449656,0.15624383240938186,0.06983400763395574,0.0019062827428363437,0.26774244010448456
uniform,11,3,uniform_S11_r3,0.0006798786829223515,0.014343769099388504,0.001843446609241962,0.0011124307724449656,0.15624383240938186,0.06144134524543872,0.0023551557640284944,0.330787792801857
uniform,11,4,uniform_S11_r4,0.0006798786829223515,0.014343769099388504,0.001843446609241962,0.0011124307724449656,0.15624383240938186,0.06877147952193922,0.004750920244425402,0.6672792360186577
uniform,11,5,uniform_S11_r5,0.0006798786829223515,0.014343769099388504,0.001843446609241962,0.0011124307724449656,0.15624383240938186,0.07798738979027707,0.003806931418725823,0.5346935391426086
uniform,11,6,uniform_S11_r6,0.0006798786829223515,0.014343769099388504,0.001843446609241962,0.0011124307724449656,0.15624383240938186,0.07201096791702943,0.0035257691356298275,0.49520350247621536
uniform,11,7,uniform_S11_r7,0.0006798786829223515,0.014343769099388504,0.001843446609241962,0.0011124307724449656,0.15624383240938186,0.08050511111507001,0.0013651693165013384,0.19174160063266754
uniform,11,8,uniform_S11_r8,0.0006798786829223515,0.014343769099388504,0.001843446609241962,0.0011124307724449656,0.15624383240938186,0.0728687524899408,0.005508563615916487,0.7736921906471252
uniform,11,9,uniform_S11_r9,0.0006798786829223515,0.014343769099388504,0.001843446609241962,0.0011124307724449656,0.15624383240938186,0.07859608380302774,0.0047490102784915,0.6670108661055565
uniform,30,0,uniform_S30_r0,9.619716052801653e-05,0.0022458693848820266,0.0002593087956693428,0.000127267009262173,0.017874984804075213,0.0713151121633857,0.0015399548625130055,0.2162906862795353
uniform,30,1,uniform_S30_r1,9.619716052801653e-05,0.0022458693848820266,0.0002593087956693428,0.000127267009262173,0.017874984804075213,0.07803987606006042,0.005013238345860759,0.704122468829155
uniform,30,2,uniform_S30_r2,9.619716052801653e-05,0.0022458693848820266,0.0002593087956693428,0.000127267009262173,0.017874984804075213,0.07194754946762705,0.004668822337424979,0.6557482779026031
uniform,30,3,uniform_S30_r3,9.619716052801653e-05,0.0022458693848820266,0.0002593087956693428,0.000127267009262173,0.017874984804075213,0.07000436940037887,0.0010954920483968763,0.15386473387479782
uniform,30,4,uniform_S30_r4,9.619716052801653e-05,0.0022458693848820266,0.0002593087956693428,0.000127267009262173,0.017874984804075213,0.052038976602196946,0.002200488767783537,0.30906442552804947
uniform,30,5,uniform_S30_r5,9.619716052801653e-05,0.0022458693848820266,0.0002593087956693428,0.000127267009262173,0.017874984804075213,0.12817822600585763,0.013806899429805251,1.9392151832580566
uniform,30,6,uniform_S30_r6,9.619716052801653e-05,0.0022458693848820266,0.0002593087956693428,0.000127267009262173,0.017874984804075213,0.09436104217901303,0.0008311586776117519,0.11673842370510101
uniform,30,7,uniform_S30_r7,9.619716052801653e-05,0.0022458693848820266,0.0002593087956693428,0.000127267009262173,0.017874984804075213,0.07229354290168066,0.002876869163240574,0.4040638208389282
uniform,30,8,uniform_S30_r8,9.619716052801653e-05,0.0022458693848820266,0.0002593087956693428,0.000127267009262173,0.017874984804075213,0.07073691393399702,0.0030313045836092927,0.42575471103191376
uniform,30,9,uniform_S30_r9,9.619716052801653e-05,0.0022458693848820266,0.0002593087956693428,0.000127267009262173,0.017874984804075213,0.05648633910917351,0.00039887546118841984,0.05602310411632061
uniform,90,0,uniform_S90_r0,6.009638555014327e-06,0.00024157810227198873,2.5087749862751132e-05,8.455713495903843e-06,0.0011876271475557588,0.061966107776265614,0.0021273004288431254,0.2987849488854408
uniform,90,1,uniform_S90_r1,6.009638555014327e-06,0.00024157810227198873,2.5087749862751132e-05,8.455713495903843e-06,0.0011876271475557588,0.08243501464450252,0.001392096839654947,0.19552365690469742
uniform,90,2,uniform_S90_r2,6.009638555014327e-06,0.00024157810227198873,2.5087749862751132e-05,8.455713495903843e-06,0.0011876271475557588,0.06887134793733754,0.00014202847104408442,0.019948272965848446
uniform,90,3,uniform_S90_r3,6.009638555014327e-06,0.00024157810227198873,2.5087749862751132e-05,8.455713495903843e-06,0.0011876271475557588,0.05436326813512846,0.002081326753867161,0.29232780635356903
uniform,90,4,uniform_S90_r4,6.009638555014327e-06,0.00024157810227198873,2.5087749862751132e-05,8.455713495903843e-06,0.0011876271475557588,0.05075560944728141,0.002288203202236899,0.32138414680957794
uniform,90,5,uniform_S90_r5,6.009638555014327e-06,0.00024157810227198873,2.5087749862751132e-05,8.455713495903843e-06,0.0011876271475557588,0.07622180617341642,0.0004731839054988783,0.06645992025732994
uniform,90,6,uniform_S90_r6,6.009638555014327e-06,0.00024157810227198873,2.5087749862751132e-05,8.455713495903843e-06,0.0011876271475557588,0.06481525949940116,0.0004115818276224796,0.05780774913728237
uniform,90,7,uniform_S90_r7,6.009638555014327e-06,0.00024157810227198873,2.5087749862751132e-05,8.455713495903843e-06,0.0011876271475557588,0.13224344103134958,0.00858358086957544,1.2055863738059998
uniform,90,8,uniform_S90_r8,6.009638555014327e-06,0.00024157810227198873,2.5087749862751132e-05,8.455713495903843e-06,0.0011876271475557588,0.0717485235148319,0.006463336668380341,0.9077925831079483
uniform,90,9,uniform_S90_r9,6.009638555014327e-06,0.00024157810227198873,2.5087749862751132e-05,8.455713495903843e-06,0.0011876271475557588,0.06392939034809673,0.0007987889846438213,0.11219200119376183
adaptive,1,0,adaptive_S1_r0,0.06311948043342945,0.4522144080946162,0.12735871454375855,0.7842969435920294,110.15656944587826,0.12044577756133813,0.6135473484238527,86.17433738708496
adaptive,1,1,adaptive_S1_r1,0.06311948043342945,0.4522144080946162,0.12735871454375855,0.7842969435920294,110.15656944587826,0.12501426889764608,0.5907462677702685,82.97186660766602
adaptive,1,2,adaptive_S1_r2,0.06311948043342945,0.4522144080946162,0.12735871454375855,0.7842969435920294,110.15656944587826,0.11632419846351526,0.588611907811303,82.67208099365234
adaptive,1,3,adaptive_S1_r3,0.06311948043342945,0.4522144080946162,0.12735871454375855,0.7842969435920294,110.15656944587826,0.15400786004274264,0.5763520927540517,80.95016098022461
adaptive,1,4,adaptive_S1_r4,0.06311948043342945,0.4522144080946162,0.12735871454375855,0.7842969435920294,110.15656944587826,0.12753199398535606,0.5697786701804475,80.02691078186035
