region_id,T_low,T_high,width,n_points,mean_abs_f_PL,max_abs_f_PL,rmse_f_PL,mean_abs_y_PL_scaled,max_abs_y_PL_scaled
22,365.78125,367.1875,1.40625,1,0.00043284103728247203,0.00043284103728247203,0.00043284103728247203,4.702747354072094e-06,9.232354558852407e-06
23,367.1875,370.0,2.8125,1,0.00027041970740437904,0.00027041970740437904,0.00027041970740437904,2.5430599856120692e-06,5.00557296934101e-06
24,370.0,371.40625,1.40625,2,0.0004609836482742935,0.0007764960298644041,0.0005586179256996155,3.989465847296462e-06,1.3401954559510987e-05
25,371.40625,372.8125,1.40625,0,,,,,
26,372.8125,374.21875,1.40625,1,0.00042968267593401777,0.00042968267593401777,0.00042968267593401777,3.036147684191507e-06,6.004372278267667e-06
27,374.21875,375.625,1.40625,1,1.0268186665385315e-05,1.0268186665385315e-05,1.0268186665385315e-05,6.301675864461842e-08,1.2475576477433137e-07
28,375.625,378.4375,2.8125,3,0.0005083351147927573,0.0011984034242615849,0.0007168817693960145,2.571555372341303e-06,1.1948362364566645e-05
29,378.4375,379.84375,1.40625,1,3.4198670906704365e-05,3.4198670906704365e-05,3.4198670906704365e-05,1.5881102000125935e-07,3.152173193576857e-07
30,379.84375,381.25,1.40625,1,0.00037123155468421487,0.00037123155468421487,0.00037123155468421487,1.5024699772658856e-06,2.984277687689829e-06
31,381.25,384.0625,2.8125,1,0.00021792626982986008,0.00021792626982986008,0.00021792626982986008,7.695265855645061e-07,1.5298841249955508e-06
32,384.0625,386.875,2.8125,2,0.0009912029298284608,0.001577828781172741,0.0011517869323646305,2.8449442292151814e-06,8.8402712266622e-06
33,386.875,388.28125,1.40625,1,0.0006325798426729534,0.0006325798426729534,0.0006325798426729534,1.7065005294599385e-06,3.3983776532298116e-06
34,388.28125,389.6875,1.40625,2,4.473053645881464e-05,8.897356390136224e-05,6.291475478117486e-05,1.0434049726078716e-07,4.134378260856053e-07
35,389.6875,392.5,2.8125,3,0.0008609619340530136,0.0023498667471493206,0.0013623963793676342,1.895567705455391e-06,1.0359144412996901e-05
36,392.5,393.90625,1.40625,1,8.84451375142703e-05,8.84451375142703e-05,8.84451375142703e-05,1.6083696754061924e-07,3.20720082047643e-07
37,393.90625,395.3125,1.40625,2,0.00017587764995141697,0.0003474761273309923,0.00024572135680770975,2.8120711773974943e-07,1.1078316672352706e-06
38,395.3125,398.125,2.8125,3,0.0008513871685617384,0.002249013506663289,0.001304754159641475,1.2894602090899692e-06,6.851264867879792e-06
39,398.125,399.53125,1.40625,1,7.36547383652919e-05,7.36547383652919e-05,7.36547383652919e-05,9.128602925419689e-08,1.821938697688097e-07
40,399.53125,400.9375,1.40625,1,0.0006004720663170815,0.0006004720663170815,0.0006004720663170815,6.684115960905087e-07,1.3342878762978572e-06
41,400.9375,402.34375,1.40625,1,0.0010590013205131754,0.0010590013205131754,0.0010590013205131754,1.1577829078420383e-06,2.311542814936729e-06
42,402.34375,403.75,1.40625,3,0.00021075739057134038,0.00034734773750244585,0.00025719030450563915,2.0232478453113205e-07,6.535030038778977e-07
43,403.75,406.5625,2.8125,2,0.001133362926537984,0.002195179642058065,0.001553050630407327,9.122051426076657e-07,3.5217108421692345e-06
44,406.5625,407.96875,1.40625,1,0.00021955986137811578,0.00021955986137811578,0.00021955986137811578,1.6595839456382913e-07,3.315083297317223e-07
45,407.96875,409.375,1.40625,1,0.0003613245697806633,0.0003613245697806633,0.0003613245697806633,2.4206470274531117e-07,4.835820710535899e-07
46,409.375,412.1875,2.8125,4,0.0010975971074991264,0.002076136453098343,0.0012886414159072896,6.653294813095215e-07,2.617296300799765e-06
47,412.1875,415.0,2.8125,1,0.0013341067765395564,0.0013341067765395564,0.0013341067765395564,7.044675560489525e-07,1.407746102577434e-06
48,415.0,415.703125,0.703125,1,0.0005040883424669573,0.0005040883424669573,0.0005040883424669573,2.3671851384632348e-07,4.730765255089864e-07
49,415.703125,416.40625,0.703125,0,,,,,
50,416.40625,417.8125,1.40625,1,5.26494017094592e-05,5.26494017094592e-05,5.26494017094592e-05,2.2011703478449125e-08,4.3993134524189514e-08
51,417.8125,420.625,2.8125,2,0.00015206577748472228,0.00022643711676550993,0.00016927816394458884,5.658763860272309e-08,1.6864734286858862e-07
52,420.625,422.03125,1.40625,2,0.0003005688915322935,0.0005486039427182732,0.0003896960933519647,9.97179306720201e-08,3.6458207608447424e-07
53,422.03125,423.4375,1.40625,1,0.00039085350556433696,0.00039085350556433696,0.00039085350556433696,1.160633568142444e-07,2.3201088683588722e-07
54,423.4375,426.25,2.8125,1,0.0001458998087287,0.0001458998087287,0.0001458998087287,3.873724258030009e-08,7.74401335834618e-08
55,426.25,427.65625,1.40625,3,0.0006906565599820169,0.0019943881683843756,0.001152071337654253,1.6959563378968508e-07,9.800698626549753e-07
56,427.65625,428.359375,0.703125,0,,,,,
57,428.359375,429.0625,0.703125,1,0.0005847505590281799,0.0005847505590281799,0.0005847505590281799,1.2450261843710564e-07,2.489160610963381e-07
58,429.0625,430.46875,1.40625,1,0.00039968085695818445,0.00039968085695818445,0.00039968085695818445,8.058061147971547e-08,1.6110673634051054e-07
59,430.46875,431.875,1.40625,1,0.0002227446688038981,0.0002227446688038981,0.0002227446688038981,4.253456411159225e-08,8.504248150131843e-08
60,431.875,432.578125,0.703125,0,,,,,
61,432.578125,433.28125,0.703125,1,4.045772038807627e-05,4.045772038807627e-05,4.045772038807627e-05,6.935834499325703e-09,1.3867716641691175e-08
62,433.28125,434.6875,1.40625,1,0.0010501425683742127,0.0010501425683742127,0.0010501425683742127,1.6763793453389297e-07,3.351855877298249e-07
63,434.6875,436.09375,1.40625,3,0.0004622939619783513,0.0013469568309574242,0.0007779592538777699,7.117219629081282e-08,4.149173719047994e-07
64,436.09375,437.5,1.40625,1,0.00039658632528016824,0.00039658632528016824,0.00039658632528016824,5.495886338617121e-08,1.0989223347968036e-07
