region_id,C_low,C_high,Caoss,Cass,Cbss,fss,aCao,aCa,aCb
27,0.8,0.8111111111111111,0.8055555555555556,0.3824125322969047,1.15371395348181,-9.550138457825597e-13,2.148741995664915,-7.068532398269719,-4.410190815889788
28,0.8111111111111111,0.8222222222222222,0.8166666666666667,0.3901072204220607,1.1468811075101213,-7.154277170684509e-13,2.148741995664915,-7.010430258805519,-4.4561113166398005
29,0.8222222222222222,0.8333333333333334,0.8277777777777777,0.3978493420940848,1.1401431286321695,-4.773959005888173e-13,2.148741995664915,-6.953472784521595,-4.501933249080829
30,0.8333333333333334,0.8444444444444444,0.8388888888888889,0.4056381012701465,1.1334984247622926,-2.3869795029440866e-13,2.148741995664915,-6.897632459270533,-4.547654369452928
31,0.8444444444444444,0.8555555555555556,0.8500000000000001,0.4134727114170807,1.1269454228341615,-4.440892098500626e-16,2.148741995664915,-6.84288243331981,-4.593272556246196
32,0.8555555555555556,0.8666666666666667,0.8611111111111112,0.4213523957792862,1.120482569336572,2.391420395042587e-13,2.148741995664915,-6.78919651236239,-4.638785806472231
33,0.8666666666666667,0.8777777777777778,0.8722222222222222,0.4292763876145172,1.1141083307850346,4.776179451937423e-13,2.148741995664915,-6.73654914622123,-4.68419223195413
34,0.8777777777777778,0.8888888888888888,0.8833333333333333,0.4372439303992897,1.1078211941325795,7.16315895488151e-13,2.148741995664915,-6.684915417296143,-4.729490055643746
35,0.8888888888888888,0.9,0.8944444444444444,0.4452542780055797,1.1016196671231595,9.556799795973347e-13,2.148741995664915,-6.634271028798586,-4.7746776079740485
36,0.9,0.9111111111111112,0.9055555555555557,0.4533066948511898,1.09550227859038,-9.561240688071848e-13,2.148741995664915,-6.5845922928121805,-4.819753323257698
37,0.9111111111111112,0.9222222222222223,0.9166666666666667,0.4614004560210278,1.0894675787080554,-7.158718062783009e-13,2.148741995664915,-6.535856118245008,-4.864715736113736
38,0.9222222222222223,0.9333333333333333,0.9277777777777778,0.469534847371735,1.08351413918747,-4.765077221691172e-13,2.148741995664915,-6.4880399986433615,-4.909563477988809
39,0.9333333333333333,0.9444444444444444,0.9388888888888889,0.4777091656066778,1.0776405534353557,-2.3736568266485847e-13,2.148741995664915,-6.441121999989962,-4.954295273696614
40,0.9444444444444444,0.9555555555555555,0.95,0.485922718333616,1.071845436667232,-1.1102230246251565e-15,2.148741995664915,-6.39508074845052,-4.998909938040666
41,0.9555555555555555,0.9666666666666667,0.961111111111111,0.4941748241021125,1.0661274259822249,2.3936408410918375e-13,2.148741995664915,-6.349895418124094,-5.043406372499672
42,0.9666666666666667,0.9777777777777779,0.9722222222222223,0.5024648124227534,1.060485180401507,4.762856775641922e-13,2.148741995664915,-6.305545718818863,-5.087783561982655
43,0.9777777777777779,0.9888888888888889,0.9833333333333334,0.510792023769469,1.054917380872938,7.158718062783009e-13,2.148741995664915,-6.262011883877063,-5.132040571656363
44,0.9888888888888889,1.0,0.9944444444444445,0.5191558095661931,1.0494227302443866,9.543477119677846e-13,2.148741995664915,-6.219274658070807,-5.176176543847109
45,1.0,1.011111111111111,1.0055555555555555,0.527555532159799,1.043999953207598,-9.5723429183181e-13,2.148741995664915,-6.177315285584516,-5.220190695022615
46,1.011111111111111,1.0222222222222221,1.0166666666666666,0.535990564775891,1.0386477962177825,-7.158718062783009e-13,2.148741995664915,-6.136115498124214,-5.2640823128314045
47,1.0222222222222221,1.0333333333333332,1.0277777777777777,0.5444602914698764,1.033365027383753,-4.769518113789672e-13,2.148741995664915,-6.095657503112994,-5.307850753260059
48,1.0333333333333332,1.0444444444444445,1.0388888888888888,0.5529641070592036,1.028150436340407,-2.391420395042587e-13,2.148741995664915,-6.055923972062297,-5.351495437829617
49,1.0444444444444445,1.0555555555555556,1.05,0.561501417049072,1.023002834098144,-1.1102230246251565e-15,2.148741995664915,-6.016898029074725,-5.395015850890917
50,1.0555555555555556,1.0666666666666667,1.0611111111111111,0.5700716375479876,1.017921052873975,2.3714363805993344e-13,2.148741995664915,-5.97856323951219,-5.438411536995031
51,1.0666666666666667,1.077777777777778,1.0722222222222224,0.5786741951747827,1.0129039459055655,4.771738559838923e-13,2.148741995664915,-5.940903598835279,-5.481682098342556
52,1.077777777777778,1.088888888888889,1.0833333333333335,0.5873085269579121,1.0079503872498243,7.158718062783009e-13,2.148741995664915,-5.903903521622123,-5.5248271923112595
53,1.088888888888889,1.1,1.0944444444444446,0.5959740802277881,1.003059271567576,9.57012247226885e-13,2.148741995664915,-5.8675478307739795,-5.567846529061462
54,1.1,1.1111111111111112,1.1055555555555556,0.60467031250366,0.99822951389532,-9.547918011776346e-13,2.148741995664915,-5.831821746910373,-5.610739869222147
55,1.1111111111111112,1.1222222222222222,1.1166666666666667,0.6133966913710105,0.9934600494080212,-7.172040739078511e-13,2.148741995664915,-5.796710877977974,-5.653507021633692
56,1.1222222222222222,1.1333333333333333,1.1277777777777778,0.6221526943618485,0.9887498331676972,-4.778399897986674e-13,2.148741995664915,-5.76220120902927,-5.6961478412039765
57,1.1333333333333333,1.1444444444444444,1.1388888888888888,0.6309378088228383,0.9840978398676764,-2.3936408410918375e-13,2.148741995664915,-5.728279092238523,-5.738662226799442
58,1.1444444444444444,1.1555555555555554,1.15,0.6397515317835504,0.9795030635671012,-6.661338147750939e-16,2.148741995664915,-5.694931237109064,-5.781050119227663
59,1.1555555555555554,1.1666666666666667,1.161111111111111,0.6485933698206636,0.9749645174193272,2.3936408410918375e-13,2.148741995664915,-5.6621447008930375,-5.8233114992868735
60,1.1666666666666667,1.1777777777777778,1.1722222222222223,0.6574628389193758,0.970481233394752,4.776179451937423e-13,2.148741995664915,-5.629906879221449,-5.865446385884798
61,1.1777777777777778,1.1888888888888889,1.1833333333333333,0.666359464332478,0.9660522619989558,7.167599846980011e-13,2.148741995664915,-5.5982054969448605,-5.907454834225243
62,1.1888888888888889,1.2000000000000002,1.1944444444444446,0.6752827804375008,0.9616766719870016,9.547918011776346e-13,2.148741995664915,-5.567028599184747,-5.9493369340608675
63,1.2000000000000002,1.2111111111111112,1.2055555555555557,0.684232330593133,0.957353550074266,-9.543477119677846e-13,2.148741995664915,-5.536364542592063,-5.991092808014221
64,1.2111111111111112,1.2222222222222223,1.2166666666666668,0.6932076669904266,0.9530820006468528,-7.176481631177012e-13,2.148741995664915,-5.5062019868285725,-6.032722609942908
65,1.2222222222222223,1.2333333333333334,1.2277777777777779,0.7022083505112072,0.9488611454664144,-4.771738559838923e-13,2.148741995664915,-5.476529886228121,-6.074226523403482
66,1.2333333333333334,1.2444444444444445,1.238888888888889,0.7112339505778912,0.944690123377782,-2.384759056894836e-13,2.148741995664915,-5.447337481691324,-6.115604760137295
67,1.2444444444444445,1.2555555555555555,1.25,0.7202840450070549,0.94056809001411,-1.5543122344752192e-15,2.148741995664915,-5.418614292770018,-6.15685755863291
68,1.2555555555555555,1.2666666666666666,1.261111111111111,0.7293582198621983,0.9364942175023964,2.395861287141088e-13,2.148741995664915,-5.3903501099557385,-6.1979851827408945
69,1.2666666666666666,1.2777777777777777,1.2722222222222221,0.7384560693067339,0.9324676941694676,4.782840790085174e-13,2.148741995664915,-5.362534987166875,-6.238987920343034
70,1.2777777777777777,1.288888888888889,1.2833333333333332,0.7475771954574233,0.9284877242488466,7.149836278586008e-13,2.148741995664915,-5.3351592344315275,-6.279866082074266
71,1.288888888888889,1.3,1.2944444444444445,0.7567212082384561,0.924553527588912,9.543477119677846e-13,2.148741995664915,-5.308213410763154,-6.320620000095725
72,1.3,1.3111111111111111,1.3055555555555556,0.7658877252371777,0.9206643393623556,-9.556799795973347e-13,2.148741995664915,-5.281688317223411,-6.361250026920873
73,1.3111111111111111,1.3222222222222224,1.3166666666666669,0.7750763715566763,0.9168194097793528,-7.156497616733759e-13,2.148741995664915,-5.255574990183043,-6.401756534271172
74,1.3222222222222224,1.3333333333333335,1.327777777777778,0.7842867796777545,0.9130180037995091,-4.769518113789672e-13,2.148741995664915,-5.229864694741778,-6.442139912014574
75,1.3333333333333335,1.3444444444444446,1.338888888888889,0.7935185893139207,0.9092594008498414,-2.3869795029440866e-13,2.148741995664915,-5.204548918351318,-6.482400567112064
76,1.3444444444444446,1.3555555555555556,1.35,0.8027714472718899,0.9055428945437796,-8.881784197001252e-16,2.148741995664915,-5.17961936460201,-6.522538922625658
77,1.3555555555555556,1.3666666666666667,1.3611111111111112,0.8120450073127536,0.9018677924035076,2.398081733190338e-13,2.148741995664915,-5.155067947183853,-6.562555416764356
78,1.3666666666666667,1.3777777777777778,1.3722222222222222,0.8213389300147415,0.8982334155854834,4.782840790085174e-13,2.148741995664915,-5.1308867840157735,-6.602450501970271
79,1.3777777777777778,1.3888888888888888,1.3833333333333333,0.8306528826376534,0.8946390986093068,7.156497616733759e-13,2.148741995664915,-5.107068191539394,-6.642224644043448
80,1.3888888888888888,1.4,1.3944444444444444,0.839986538989042,0.891084189090084,9.539036227579345e-13,2.148741995664915,-5.0836046791735505,-6.681878321304034
81,1.4,1.411111111111111,1.4055555555555554,0.8493395792930515,0.8875680474741031,-9.556799795973347e-13,2.148741995664915,-5.060488943923738,-6.721412023793958
82,1.411111111111111,1.4222222222222223,1.4166666666666665,0.8587116900569128,0.8840900467798257,-7.16093850883226e-13,2.148741995664915,-5.037713865155123,-6.760826252495448
83,1.4222222222222223,1.4333333333333333,1.4277777777777778,0.8681025639477761,0.880649572339552,-4.773959005888173e-13,2.148741995664915,-5.015272499494282,-6.8001215186184885
84,1.4333333333333333,1.4444444444444446,1.438888888888889,0.8775118996630843,0.8772460215481688,-2.382538610845586e-13,2.148741995664915,-4.993158075897519,-6.8392983428847405
85,1.4444444444444446,1.4555555555555557,1.4500000000000002,0.8869394018071467,0.8738788036142934,-2.220446049250313e-16,2.148741995664915,-4.97136399085081,-6.878357254860164
86,1.4555555555555557,1.4666666666666668,1.4611111111111112,0.8963847807688868,0.8705473393157737,2.3936408410918375e-13,2.148741995664915,-4.949883803710252,-6.9172987923137494
87,1.4666666666666668,1.4777777777777779,1.4722222222222223,0.905847752601634,0.8672510607592679,4.777289674962049e-13,2.148741995664915,-4.928711232177315,-6.956123500604807
88,1.4777777777777779,1.488888888888889,1.4833333333333334,0.9153280389049684,0.8639894111439366,7.158718062783009e-13,2.148741995664915,-4.907840147905304,-6.994831932097675
89,1.488888888888889,1.5,1.4944444444444445,0.9248253667086344,0.8607618445292688,9.556799795973347e-13,2.148741995664915,-4.887264572233551,-7.033424645602807
