region_id,constraint_order,constraint_name,A_Cao,B_Ca,B_Cb,B_Cc,b
260,0,reaction_linearized,1,-6.1677203888127856,-3.0742820558898107,1.1487419956649154,-3.6351141944942484
260,1,mass_balance,-1,1,1,1,2
261,0,reaction_linearized,1,-6.1619942591096413,-3.0784520981771282,1.1487419956649154,-3.6380277172537694
261,1,mass_balance,-1,1,1,1,2
262,0,reaction_linearized,1,-6.1562785900841703,-3.0826214479024698,1.1487419956649154,-3.6409375294821475
262,1,mass_balance,-1,1,1,1,2
263,0,reaction_linearized,1,-6.1505733589184999,-3.0867901029002445,1.1487419956649154,-3.6438436366341471
263,1,mass_balance,-1,1,1,1,2
264,0,reaction_linearized,1,-6.1448785428421475,-3.0909580610143088,1.1487419956649154,-3.6467460441603374
264,1,mass_balance,-1,1,1,1,2
265,0,reaction_linearized,1,-6.139194119131921,-3.0951253200979441,1.1487419956649154,-3.6496447575070547
265,1,mass_balance,-1,1,1,1,2
266,0,reaction_linearized,1,-6.1335200651119308,-3.0992918780138345,1.1487419956649154,-3.6525397821163827
266,1,mass_balance,-1,1,1,1,2
267,0,reaction_linearized,1,-6.1278563581535037,-3.1034577326340447,1.1487419956649154,-3.6554311234261201
267,1,mass_balance,-1,1,1,1,2
268,0,reaction_linearized,1,-6.1222029756751422,-3.1076228818400002,1.1487419956649154,-3.6583187868697564
268,1,mass_balance,-1,1,1,1,2
269,0,reaction_linearized,1,-6.1165598951425038,-3.1117873235224716,1.1487419956649154,-3.6612027778764569
269,1,mass_balance,-1,1,1,1,2
270,0,reaction_linearized,1,-6.1109270940683169,-3.1159510555815397,1.1487419956649154,-3.6640831018710172
270,1,mass_balance,-1,1,1,1,2
271,0,reaction_linearized,1,-6.1053045500123506,-3.1201140759265886,1.1487419956649154,-3.6669597642738485
271,1,mass_balance,-1,1,1,1,2
272,0,reaction_linearized,1,-6.0996922405813807,-3.124276382476272,1.1487419956649154,-3.6698327705009559
272,1,mass_balance,-1,1,1,1,2
273,0,reaction_linearized,1,-6.0940901434291117,-3.1284379731585021,1.1487419956649154,-3.6727021259639052
273,1,mass_balance,-1,1,1,1,2
274,0,reaction_linearized,1,-6.0884982362561466,-3.1325988459104241,1.1487419956649154,-3.6755678360698054
274,1,mass_balance,-1,1,1,1,2
275,0,reaction_linearized,1,-6.0829164968099283,-3.1367589986783906,1.1487419956649154,-3.6784299062212726
275,1,mass_balance,-1,1,1,1,2
276,0,reaction_linearized,1,-6.0773449028847111,-3.1409184294179449,1.1487419956649154,-3.68128834181642
276,1,mass_balance,-1,1,1,1,2
277,0,reaction_linearized,1,-6.0717834323214817,-3.1450771360937999,1.1487419956649154,-3.6841431482488218
277,1,mass_balance,-1,1,1,1,2
278,0,reaction_linearized,1,-6.0662320630079094,-3.1492351166798129,1.1487419956649154,-3.686994330907488
278,1,mass_balance,-1,1,1,1,2
279,0,reaction_linearized,1,-6.0606907728783401,-3.1533923691589685,1.1487419956649154,-3.6898418951768592
279,1,mass_balance,-1,1,1,1,2
280,0,reaction_linearized,1,-6.0551595399136842,-3.1575488915233509,1.1487419956649154,-3.6926858464367576
280,1,mass_balance,-1,1,1,1,2
281,0,reaction_linearized,1,-6.0496383421414057,-3.1617046817741312,1.1487419956649154,-3.6955261900623801
281,1,mass_balance,-1,1,1,1,2
282,0,reaction_linearized,1,-6.0441271576354625,-3.1658597379215356,1.1487419956649154,-3.6983629314242688
282,1,mass_balance,-1,1,1,1,2
283,0,reaction_linearized,1,-6.0386259645162408,-3.1700140579848286,1.1487419956649154,-3.7011960758882867
283,1,mass_balance,-1,1,1,1,2
284,0,reaction_linearized,1,-6.0331347409505147,-3.1741676399922945,1.1487419956649154,-3.704025628815597
284,1,mass_balance,-1,1,1,1,2
285,0,reaction_linearized,1,-6.0276534651514,-3.1783204819812108,1.1487419956649154,-3.7068515955626449
285,1,mass_balance,-1,1,1,1,2
286,0,reaction_linearized,1,-6.022182115378282,-3.1824725819978248,1.1487419956649154,-3.7096739814811199
286,1,mass_balance,-1,1,1,1,2
287,0,reaction_linearized,1,-6.0167206699367748,-3.1866239380973407,1.1487419956649154,-3.7124927919179536
287,1,mass_balance,-1,1,1,1,2
288,0,reaction_linearized,1,-6.011269107178677,-3.1907745483438887,1.1487419956649154,-3.7153080322152832
288,1,mass_balance,-1,1,1,1,2
289,0,reaction_linearized,1,-6.005827405501889,-3.194924410810505,1.1487419956649154,-3.7181197077104295
289,1,mass_balance,-1,1,1,1,2
290,0,reaction_linearized,1,-6.0003955433503871,-3.1990735235791177,1.1487419956649154,-3.7209278237358854
290,1,mass_balance,-1,1,1,1,2
291,0,reaction_linearized,1,-5.9949734992141614,-3.2032218847405125,1.1487419956649154,-3.7237323856192877
291,1,mass_balance,-1,1,1,1,2
292,0,reaction_linearized,1,-5.9895612516291461,-3.2073694923943195,1.1487419956649154,-3.7265333986833871
292,1,mass_balance,-1,1,1,1,2
293,0,reaction_linearized,1,-5.9841587791771813,-3.2115163446489894,1.1487419956649154,-3.7293308682460444
293,1,mass_balance,-1,1,1,1,2
294,0,reaction_linearized,1,-5.978766060485956,-3.2156624396217715,1.1487419956649154,-3.7321247996201969
294,1,mass_balance,-1,1,1,1,2
295,0,reaction_linearized,1,-5.9733830742289493,-3.2198077754386913,1.1487419956649154,-3.7349151981138444
295,1,mass_balance,-1,1,1,1,2
296,0,reaction_linearized,1,-5.9680097991253636,-3.2239523502345269,1.1487419956649154,-3.7377020690300187
296,1,mass_balance,-1,1,1,1,2
297,0,reaction_linearized,1,-5.9626462139400909,-3.2280961621527902,1.1487419956649154,-3.7404854176667719
297,1,mass_balance,-1,1,1,1,2
298,0,reaction_linearized,1,-5.9572922974836375,-3.2322392093457051,1.1487419956649154,-3.7432652493171572
298,1,mass_balance,-1,1,1,1,2
299,0,reaction_linearized,1,-5.9519480286120743,-3.2363814899741818,1.1487419956649154,-3.7460415692691997
299,1,mass_balance,-1,1,1,1,2
300,0,reaction_linearized,1,-5.9466133862269768,-3.240523002207798,1.1487419956649154,-3.7488143828058833
300,1,mass_balance,-1,1,1,1,2
301,0,reaction_linearized,1,-5.9412883492753785,-3.244663744224777,1.1487419956649154,-3.751583695205134
301,1,mass_balance,-1,1,1,1,2
302,0,reaction_linearized,1,-5.9359728967496936,-3.2488037142119635,1.1487419956649154,-3.7543495117397869
302,1,mass_balance,-1,1,1,1,2
303,0,reaction_linearized,1,-5.9306670076876786,-3.2529429103648018,1.1487419956649154,-3.7571118376775807
303,1,mass_balance,-1,1,1,1,2
304,0,reaction_linearized,1,-5.9253706611723631,-3.2570813308873183,1.1487419956649154,-3.7598706782811337
304,1,mass_balance,-1,1,1,1,2
305,0,reaction_linearized,1,-5.920083836331993,-3.2612189739920918,1.1487419956649154,-3.7626260388079178
305,1,mass_balance,-1,1,1,1,2
306,0,reaction_linearized,1,-5.9148065123399745,-3.2653558379002408,1.1487419956649154,-3.7653779245102572
306,1,mass_balance,-1,1,1,1,2
307,0,reaction_linearized,1,-5.9095386684148128,-3.2694919208413893,1.1487419956649154,-3.7681263406352832
307,1,mass_balance,-1,1,1,1,2
308,0,reaction_linearized,1,-5.9042802838200554,-3.2736272210536601,1.1487419956649154,-3.7708712924249443
308,1,mass_balance,-1,1,1,1,2
309,0,reaction_linearized,1,-5.899031337864229,-3.2777617367836371,1.1487419956649154,-3.7736127851159678
309,1,mass_balance,-1,1,1,1,2
310,0,reaction_linearized,1,-5.8937918099007769,-3.2818954662863549,1.1487419956649154,-3.7763508239398433
310,1,mass_balance,-1,1,1,1,2
311,0,reaction_linearized,1,-5.888561679328018,-3.2860284078252686,1.1487419956649154,-3.7790854141228154
311,1,mass_balance,-1,1,1,1,2
312,0,reaction_linearized,1,-5.8833409255890601,-3.2901605596722403,1.1487419956649154,-3.7818165608858618
312,1,mass_balance,-1,1,1,1,2
313,0,reaction_linearized,1,-5.8781295281717556,-3.2942919201075096,1.1487419956649154,-3.7845442694446652
313,1,mass_balance,-1,1,1,1,2
314,0,reaction_linearized,1,-5.8729274666086404,-3.2984224874196726,1.1487419956649154,-3.7872685450096109
314,1,mass_balance,-1,1,1,1,2
315,0,reaction_linearized,1,-5.8677347204768662,-3.3025522599056658,1.1487419956649154,-3.7899893927857597
315,1,mass_balance,-1,1,1,1,2
316,0,reaction_linearized,1,-5.8625512693981463,-3.306681235870736,1.1487419956649154,-3.7927068179728338
316,1,mass_balance,-1,1,1,1,2
317,0,reaction_linearized,1,-5.8573770930386875,-3.3108094136284221,1.1487419956649154,-3.7954208257651976
317,1,mass_balance,-1,1,1,1,2
318,0,reaction_linearized,1,-5.8522121711091373,-3.3149367915005352,1.1487419956649154,-3.7981314213518464
318,1,mass_balance,-1,1,1,1,2
319,0,reaction_linearized,1,-5.847056483364514,-3.3190633678171291,1.1487419956649154,-3.8008386099163811
319,1,mass_balance,-1,1,1,1,2
320,0,reaction_linearized,1,-5.8419100096041472,-3.3231891409164906,1.1487419956649154,-3.8035423966370034
320,1,mass_balance,-1,1,1,1,2
321,0,reaction_linearized,1,-5.8367727296716172,-3.3273141091451022,1.1487419956649154,-3.8062427866864841
321,1,mass_balance,-1,1,1,1,2
322,0,reaction_linearized,1,-5.8316446234546948,-3.3314382708576331,1.1487419956649154,-3.8089397852321616
322,1,mass_balance,-1,1,1,1,2
323,0,reaction_linearized,1,-5.8265256708852711,-3.3355616244169095,1.1487419956649154,-3.811633397435918
323,1,mass_balance,-1,1,1,1,2
324,0,reaction_linearized,1,-5.8214158519393031,-3.3396841681938976,1.1487419956649154,-3.8143236284541651
324,1,mass_balance,-1,1,1,1,2
325,0,reaction_linearized,1,-5.8163151466367431,-3.343805900567673,1.1487419956649154,-3.817010483437826
325,1,mass_balance,-1,1,1,1,2
326,0,reaction_linearized,1,-5.8112235350414867,-3.3479268199254104,1.1487419956649154,-3.819693967532328
326,1,mass_balance,-1,1,1,1,2
327,0,reaction_linearized,1,-5.8061409972612887,-3.3520469246623521,1.1487419956649154,-3.8223740858775734
327,1,mass_balance,-1,1,1,1,2
328,0,reaction_linearized,1,-5.8010675134477259,-3.3561662131817904,1.1487419956649154,-3.8250508436079373
328,1,mass_balance,-1,1,1,1,2
329,0,reaction_linearized,1,-5.7960030637961149,-3.3602846838950433,1.1487419956649154,-3.8277242458522465
329,1,mass_balance,-1,1,1,1,2
330,0,reaction_linearized,1,-5.7909476285454513,-3.3644023352214365,1.1487419956649154,-3.8303942977337657
330,1,mass_balance,-1,1,1,1,2
331,0,reaction_linearized,1,-5.7859011879783537,-3.3685191655882751,1.1487419956649154,-3.8330610043701827
331,1,mass_balance,-1,1,1,1,2
332,0,reaction_linearized,1,-5.7808637224209898,-3.3726351734308282,1.1487419956649154,-3.835724370873594
332,1,mass_balance,-1,1,1,1,2
333,0,reaction_linearized,1,-5.7758352122430088,-3.3767503571922979,1.1487419956649154,-3.8383844023504858
333,1,mass_balance,-1,1,1,1,2
334,0,reaction_linearized,1,-5.7708156378574937,-3.3808647153238107,1.1487419956649154,-3.8410411039017305
334,1,mass_balance,-1,1,1,1,2
335,0,reaction_linearized,1,-5.7658049797208859,-3.3849782462843816,1.1487419956649154,-3.8436944806225637
335,1,mass_balance,-1,1,1,1,2
336,0,reaction_linearized,1,-5.760803218332911,-3.3890909485409004,1.1487419956649154,-3.8463445376025716
336,1,mass_balance,-1,1,1,1,2
337,0,reaction_linearized,1,-5.7558103342365312,-3.3932028205681073,1.1487419956649154,-3.848991279925678
337,1,mass_balance,-1,1,1,1,2
338,0,reaction_linearized,1,-5.7508263080178619,-3.397313860848572,1.1487419956649154,-3.8516347126701342
338,1,mass_balance,-1,1,1,1,2
339,0,reaction_linearized,1,-5.7458511203061295,-3.4014240678726662,1.1487419956649154,-3.8542748409084977
339,1,mass_balance,-1,1,1,1,2
340,0,reaction_linearized,1,-5.7408847517735788,-3.4055334401385542,1.1487419956649154,-3.8569116697076282
340,1,mass_balance,-1,1,1,1,2
341,0,reaction_linearized,1,-5.7359271831354297,-3.4096419761521548,1.1487419956649154,-3.8595452041286662
341,1,mass_balance,-1,1,1,1,2
342,0,reaction_linearized,1,-5.7309783951497959,-3.4137496744271338,1.1487419956649154,-3.8621754492270286
342,1,mass_balance,-1,1,1,1,2
343,0,reaction_linearized,1,-5.7260383686176226,-3.4178565334848692,1.1487419956649154,-3.8648024100523788
343,1,mass_balance,-1,1,1,1,2
344,0,reaction_linearized,1,-5.7211070843826306,-3.4219625518544428,1.1487419956649154,-3.8674260916486425
344,1,mass_balance,-1,1,1,1,2
345,0,reaction_linearized,1,-5.7161845233312309,-3.4260677280726055,1.1487419956649154,-3.870046499053966
345,1,mass_balance,-1,1,1,1,2
346,0,reaction_linearized,1,-5.7112706663924744,-3.4301720606837618,1.1487419956649154,-3.8726636373007177
346,1,mass_balance,-1,1,1,1,2
347,0,reaction_linearized,1,-5.7063654945379749,-3.4342755482399521,1.1487419956649154,-3.8752775114154829
347,1,mass_balance,-1,1,1,1,2
348,0,reaction_linearized,1,-5.7014689887818477,-3.4383781893008183,1.1487419956649154,-3.8778881264190317
348,1,mass_balance,-1,1,1,1,2
349,0,reaction_linearized,1,-5.6965811301806442,-3.4424799824335941,1.1487419956649154,-3.8804954873263253
349,1,mass_balance,-1,1,1,1,2
350,0,reaction_linearized,1,-5.6917018998332729,-3.4465809262130813,1.1487419956649154,-3.8830995991465009
350,1,mass_balance,-1,1,1,1,2
351,0,reaction_linearized,1,-5.6868312788809483,-3.4506810192216171,1.1487419956649154,-3.8857004668828461
351,1,mass_balance,-1,1,1,1,2
352,0,reaction_linearized,1,-5.6819692485071114,-3.4547802600490667,1.1487419956649154,-3.8882980955328055
352,1,mass_balance,-1,1,1,1,2
353,0,reaction_linearized,1,-5.677115789937365,-3.4588786472927917,1.1487419956649154,-3.8908924900879573
353,1,mass_balance,-1,1,1,1,2
354,0,reaction_linearized,1,-5.6722708844394099,-3.4629761795576348,1.1487419956649154,-3.8934836555340109
354,1,mass_balance,-1,1,1,1,2
355,0,reaction_linearized,1,-5.6674345133229709,-3.4670728554558909,1.1487419956649154,-3.8960715968507849
355,1,mass_balance,-1,1,1,1,2
356,0,reaction_linearized,1,-5.6626066579397349,-3.4711686736072922,1.1487419956649154,-3.8986563190122094
356,1,mass_balance,-1,1,1,1,2
